,,,,,,,,,,2011 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,"Bowden, Phil",,6,2:44:00,5,6:41:00,5,10:26:00,4,14:55:00,5,21:47:00,4,26:07:00,5,28:44:00,5,36:07:00,4,42:14:00,4,46:19:00,4,50:13:00
,,,"Smart, Bobby",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Wyatt, Jill",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4th Unlimited,807,"Yeager, Dodd",9:00, ,11:40:00, ,15:37:00, ,19:23:00, ,0:03:00, ,7:07:00, ,11:41:00, ,14:28:00, ,21:56:00, ,4:27:00, ,8:22:00, ,11:15:00
,,,"Rask, Phillip",,4,2:40:00,5,3:57:00,5,3:46:00,6,4:40:00,7,7:04:00,7,4:34:00,8,2:47:00,6,7:28:00,7,6:31:00,9,3:55:00,1,2:53:00
,,,"Rask, Peter",,4,2:40:00,4,6:37:00,4,10:23:00,5,15:03:00,6,22:07:00,6,26:41:00,6,29:28:00,6,36:56:00,6,43:27:00,6,47:22:00,5,50:15:00
,,,"Rendon, Mike",,,,,,,,,,,,,,,,,,,,,,,
,,,"Harras, JohnMark",,,,,,,,,,,,,,,,,,,,,,,
,,,"DuPont, John",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Yeager, Meagan",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5th Unlimited ,383,"Bugge, John",9:00, ,11:46:00, ,15:48:00, ,19:34:00, ,0:08:00, ,6:37:00, ,11:08:00, ,13:41:00, ,21:02:00, ,3:48:00, ,8:00:00, ,11:45:00
,1st Masters,,"Binion, Pete ",,7,2:46:00,7,4:02:00,5,3:46:00,5,4:34:00,3,6:29:00,6,4:31:00,3,2:33:00,3,7:21:00,13,6:46:00,12,4:12:00,7,3:45:00
,,,"Dahl, David",,7,2:46:00,7,6:48:00,7,10:34:00,6,15:08:00,4,21:37:00,5,26:08:00,4,28:41:00,4,36:02:00,5,42:48:00,5,47:00:00,6,50:45:00
,,,"Shively, Mike",,,,,,,,,,,,,,,,,,,,,,,
,,,"Vincent, Bob ",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Pye, Jim",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1st Men's Solo,1901,"Hansen, West",9:00, ,11:49:00, ,15:45:00, ,19:33:00, ,0:15:00, ,7:31:00, ,12:20:00, ,15:07:00, ,23:00:00, ,5:52:00, ,9:05:00, ,12:45:00
,,,"TC - Alaniz, Lizet",,8,2:49:00,4,3:56:00,7,3:48:00,7,4:42:00,10,7:16:00,10,4:49:00,7,2:47:00,9,7:53:00,15,6:52:00,3,3:13:00,6,3:40:00
,,,,,8,2:49:00,6,6:45:00,6,10:33:00,7,15:15:00,7,22:31:00,7,27:20:00,7,30:07:00,7,38:00:00,7,44:52:00,7,48:05:00,7,51:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1st USCA C2,1,"Binion, Wade",9:00, ,11:54:00, ,16:12:00, ,20:08:00, ,0:56:00, ,8:03:00, ,12:32:00, ,15:22:00, ,23:15:00, ,5:52:00, ,9:05:00, ,13:26:00
,,,"Sherrod, Vance",,9,2:54:00,11,4:18:00,9,3:56:00,8,4:48:00,8,7:07:00,5,4:29:00,10,2:50:00,8,7:53:00,10,6:37:00,3,3:13:00,11,4:21:00
,,,"TC - Sherrod, Sandy",,9,2:54:00,9,7:12:00,10,11:08:00,9,15:56:00,9,23:03:00,9,27:32:00,8,30:22:00,8,38:15:00,7,44:52:00,7,48:05:00,8,52:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2nd USCA C2,1845,"Condie, Andrew",9:00, ,11:54:00, ,16:12:00, ,20:05:00, ,0:56:00, ,8:04:00, ,12:44:00, ,15:33:00, ,23:15:00, ,5:53:00, ,9:44:00, ,15:15:00
,,,"Stafford, Brandon",,9,2:54:00,11,4:18:00,8,3:53:00,10,4:51:00,9,7:08:00,8,4:40:00,9,2:49:00,7,7:42:00,11,6:38:00,8,3:51:00,24,5:31:00
,,,"TC - Condie, Jay",,9,2:54:00,9,7:12:00,9,11:05:00,9,15:56:00,10,23:04:00,10,27:44:00,9,30:33:00,8,38:15:00,9,44:53:00,9,48:44:00,9,54:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1st Women's,6,"Norman, Jamie",9:00, ,11:59:00, ,16:21:00, ,20:27:00, ,1:35:00, ,9:04:00, ,14:10:00, ,17:20:00, ,2:21:00, ,9:30:00, ,13:06:00, ,16:42:00
,,,"Binion, Samantha",,14,2:59:00,13,4:22:00,12,4:06:00,11,5:08:00,13,7:29:00,12,5:06:00,13,3:10:00,12,9:01:00,20,7:09:00,5,3:36:00,5,3:36:00
,,,"Orr, Holly",,14,2:59:00,14,7:21:00,13,11:27:00,11,16:35:00,11,24:04:00,11,29:10:00,11,32:20:00,11,41:21:00,11,48:30:00,11,52:06:00,10,55:42:00
,,,"Yonley, Sandy",,,,,,,,,,,,,,,,,,,,,,,
,,,"Taylor, Natalie",,,,,,,,,,,,,,,,,,,,,,,
,,,"Parker, Virginia",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Binion, Mollie",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6th Unlimited,388,"Simmons, Mark",9:00, ,11:43:00, ,15:48:00, ,19:44:00, ,0:35:00, ,7:38:00, ,12:23:00, ,15:40:00, ,0:04:00, ,7:32:00, ,12:00:00, ,17:27:00
,,,"Alford, Terry",,5,2:43:00,8,4:05:00,9,3:56:00,9,4:51:00,6,7:03:00,9,4:45:00,18,3:17:00,10,8:24:00,23,7:28:00,17,4:28:00,21,5:27:00
,,,"Harlan, Kent",,5,2:43:00,7,6:48:00,8,10:44:00,8,15:35:00,8,22:38:00,8,27:23:00,10,30:40:00,10,39:04:00,10,46:32:00,10,51:00:00,11,56:27:00
,,,"Kissling, RD",,,,,,,,,,,,,,,,,,,,,,,
,,,"Petrisky, Pat ",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Alford, Cindy",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7th Unlimited,300,"Murphy, John",9:00, ,11:58:00, ,16:14:00, ,20:19:00, ,1:36:00, ,9:23:00, ,14:35:00, ,17:55:00, ,3:18:00, ,9:50:00, ,14:03:00, ,18:39:00
,,,"Daniel, Steve ",,13,2:58:00,10,4:16:00,11,4:05:00,13,5:17:00,17,7:47:00,16,5:12:00,20,3:20:00,15,9:23:00,8,6:32:00,13,4:13:00,12,4:36:00
,,,"Drost, Mike",,13,2:58:00,12,7:14:00,11,11:19:00,12,16:36:00,13,24:23:00,13,29:35:00,13,32:55:00,13,42:18:00,13,48:50:00,13,53:03:00,12,57:39:00
,,,"TC - Mamousser, Doug",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2nd Tandem Unl,32,"Roye, Ryan",9:00, ,11:54:00, ,16:18:00, ,20:29:00, ,1:46:00, ,9:10:00, ,14:15:00, ,17:44:00, ,3:00:00, ,9:34:00, ,13:22:00, ,18:47:00
,,,"Boyett, Shawn",,9,2:54:00,14,4:24:00,14,4:11:00,12,5:17:00,11,7:24:00,11,5:05:00,29,3:29:00,13,9:16:00,9,6:34:00,6,3:48:00,20,5:25:00
,,,"TC - Anderson, Michael",,9,2:54:00,13,7:18:00,14,11:29:00,13,16:46:00,12,24:10:00,12,29:15:00,12,32:44:00,12,42:00:00,12,48:34:00,12,52:22:00,13,57:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1st Aluminum,787,"Tart, Nathan",9:00, ,12:15:00, ,16:59:00, ,21:21:00, ,2:54:00, ,10:45:00, ,15:52:00, ,18:46:00, ,3:21:00, ,10:09:00, ,14:38:00, ,19:37:00
,,,"Jones, Garrett",,23,3:15:00,25,4:44:00,19,4:22:00,15,5:33:00,18,7:51:00,13,5:07:00,11,2:54:00,11,8:35:00,14,6:48:00,18,4:29:00,15,4:59:00
,,,"TC - Tart, Dwight",,23,3:15:00,24,7:59:00,21,12:21:00,16,17:54:00,17,25:45:00,15,30:52:00,15,33:46:00,14,42:21:00,14,49:09:00,14,53:38:00,14,58:37:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8th Unlimited,215,"Grullon, Jake",9:00, ,11:56:00, ,16:12:00, ,20:21:00, ,1:57:00, ,9:28:00, ,14:50:00, ,18:03:00, ,6:33:00, ,12:38:00, ,16:50:00, ,20:43:00
,,,"Stewart, Chuck",,12,2:56:00,9,4:16:00,13,4:09:00,16,5:36:00,14,7:31:00,18,5:22:00,17,3:13:00,44,12:30:00,3,6:05:00,11,4:12:00,8,3:53:00
,,,"Stewart, Charlie",,12,2:56:00,9,7:12:00,12,11:21:00,14,16:57:00,14,24:28:00,14,29:50:00,14,33:03:00,16,45:33:00,16,51:38:00,16,55:50:00,15,59:43:00
,,,"TC - Palmer, Hans",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3rd Tandem Unl,2534,"Wyatt, Wes",9:00, ,12:13:00, ,16:43:00, ,21:01:00, ,2:59:00, ,10:40:00, ,15:55:00, ,19:15:00, ,5:55:00, ,12:18:00, ,16:37:00, ,21:57:00
,,,"Reed, Grady",,22,3:13:00,19,4:30:00,17,4:18:00,25,5:58:00,16,7:41:00,17,5:15:00,22,3:20:00,25,10:40:00,6,6:23:00,15,4:19:00,19,5:20:00
,,,"TC - Wyatt, Stephanie",,22,3:13:00,18,7:43:00,17,12:01:00,18,17:59:00,16,25:40:00,16,30:55:00,16,34:15:00,15,44:55:00,15,51:18:00,15,55:37:00,16,60:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2nd Men's Solo,19,"Waters, Geoff",9:00, ,12:17:00, ,16:46:00, ,21:10:00, ,5:41:00, ,13:06:00, ,18:16:00, ,21:12:00, ,7:11:00, ,13:54:00, ,18:41:00, ,22:50:00
,,,"TC - Froelich, David",,26,3:17:00,17,4:29:00,20,4:24:00,68,8:31:00,12,7:25:00,14,5:10:00,12,2:56:00,18,9:59:00,12,6:43:00,22,4:47:00,10,4:09:00
,,,,,26,3:17:00,19,7:46:00,18,12:10:00,37,20:41:00,29,28:06:00,20,33:16:00,19,36:12:00,20,46:11:00,17,52:54:00,18,57:41:00,17,61:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3rd Men's Solo,116,"Curry, Tim",9:00, ,12:17:00, ,17:09:00, ,21:45:00, ,3:27:00, ,12:08:00, ,18:25:00, ,21:36:00, ,6:52:00, ,13:59:00, ,18:28:00, ,23:57:00
,,,"TC - Dluhy, Jason",,26,3:17:00,29,4:52:00,24,4:36:00,18,5:42:00,28,8:41:00,31,6:17:00,16,3:11:00,13,9:16:00,19,7:07:00,19,4:29:00,23,5:29:00
,,,,,26,3:17:00,28,8:09:00,27,12:45:00,21,18:27:00,20,27:08:00,22,33:25:00,21,36:36:00,17,45:52:00,18,52:59:00,17,57:28:00,18,62:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9th Unlimited,3333,"Stuman, Rhett (Hambone)",9:00, ,12:11:00, ,17:07:00, ,21:49:00, ,3:39:00, ,12:12:00, ,18:05:00, ,21:22:00, ,8:47:00, ,16:22:00, ,21:00:00, ,2:29:00
,,,"Lenz, Kevin",,20,3:11:00,34,4:56:00,27,4:42:00,20,5:50:00,26,8:33:00,22,5:53:00,18,3:17:00,36,11:25:00,26,7:35:00,20,4:38:00,22,5:29:00
,,,"Stuman, Rhett B.",,20,3:11:00,27,8:07:00,28,12:49:00,24,18:39:00,21,27:12:00,19,33:05:00,20,36:22:00,23,47:47:00,23,55:22:00,23,60:00:00,19,65:29:00
,,,"TC - Noble, Jacqueline",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1st Standard,971,"Startz, Ken",9:00, ,12:15:00, ,16:58:00, ,21:31:00, ,3:29:00, ,13:43:00, ,18:53:00, ,22:18:00, ,8:10:00, ,15:10:00, ,19:27:00, ,2:34:00
,,,"Dornak, Henry",,23,3:15:00,24,4:43:00,22,4:33:00,27,5:58:00,48,10:14:00,14,5:10:00,24,3:25:00,17,9:52:00,18,7:00:00,14,4:17:00,38,7:07:00
,,,"TC - Startz, Nick",,23,3:15:00,23,7:58:00,24,12:31:00,22,18:29:00,32,28:43:00,27,33:53:00,24,37:18:00,21,47:10:00,21,54:10:00,19,58:27:00,20,65:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1st Novice,1300,"Mann, Joe",9:00, ,12:24:00, ,17:26:00, ,22:22:00, ,4:17:00, ,11:57:00, ,17:50:00, ,21:00:00, ,7:10:00, ,14:02:00, ,19:29:00, ,2:44:00
,,,"Werderich, Wally",,29,3:24:00,39,5:02:00,35,4:56:00,22,5:55:00,15,7:40:00,21,5:53:00,15,3:10:00,20,10:10:00,16,6:52:00,36,5:27:00,39,7:15:00
,,,"TC - Smith, Ryan",,29,3:24:00,35,8:26:00,34,13:22:00,30,19:17:00,19,26:57:00,18,32:50:00,18,36:00:00,19,46:10:00,19,53:02:00,20,58:29:00,21,65:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3rd USCA C2,69,"LaRocque, Chris",9:00, ,12:29:00, ,17:22:00, ,22:06:00, ,4:03:00, ,12:29:00, ,18:20:00, ,23:10:00, ,8:49:00, ,16:35:00, ,21:43:00, ,4:02:00
,,,"LaRocque, John",,35,3:29:00,32,4:53:00,29,4:44:00,24,5:57:00,24,8:26:00,20,5:51:00,66,4:50:00,16,9:39:00,28,7:46:00,29,5:08:00,33,6:19:00
,,,"TC - LaRocque, Pam",,35,3:29:00,32,8:22:00,31,13:06:00,27,19:03:00,24,27:29:00,21,33:20:00,26,38:10:00,24,47:49:00,24,55:35:00,24,60:43:00,22,67:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1st Mixed,221,"Thompson, Rachel",9:00, ,12:12:00, ,17:05:00, ,21:19:00, ,3:17:00, ,12:18:00, ,18:40:00, ,21:50:00, ,8:25:00, ,15:53:00, ,20:58:00, ,4:42:00
,,,"Rask, Stephen",,21,3:12:00,31,4:53:00,16,4:14:00,25,5:58:00,31,9:01:00,32,6:22:00,13,3:10:00,23,10:35:00,23,7:28:00,28,5:05:00,44,7:44:00
,,,"TC - Kittle, Sara",,21,3:12:00,26,8:05:00,20,12:19:00,20,18:17:00,22,27:18:00,26,33:40:00,22,36:50:00,22,47:25:00,22,54:53:00,22,59:58:00,23,67:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1st USCA C1,1111,"Slaten, Curtis",9:00, ,12:36:00, ,17:22:00, ,22:04:00, ,4:16:00, ,12:28:00, ,18:34:00, ,22:02:00, ,9:43:00, ,18:12:00, ,23:15:00, ,5:19:00
,,,"TC - Lane, Marilyn",,41,3:36:00,27,4:46:00,27,4:42:00,31,6:12:00,19,8:12:00,28,6:06:00,27,3:28:00,37,11:41:00,36,8:29:00,27,5:03:00,30,6:04:00
,,,,,41,3:36:00,32,8:22:00,30,13:04:00,29,19:16:00,23,27:28:00,24,33:34:00,23,37:02:00,25,48:43:00,25,57:12:00,25,62:15:00,24,68:19:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2nd Novice,2268,"Rolls, Ian",9:00, ,12:35:00, ,17:35:00, ,22:50:00, ,4:46:00, ,14:30:00, ,21:46:00, ,1:14:00, ,12:24:00, ,20:04:00, ,0:47:00, ,5:55:00
,,,"McReynolds, Randy",,40,3:35:00,36,5:00:00,37,5:15:00,23,5:56:00,37,9:44:00,43,7:16:00,27,3:28:00,34,11:10:00,27,7:40:00,21,4:43:00,17,5:08:00
,,,"TC - Rolls, Anna",,40,3:35:00,39,8:35:00,39,13:50:00,34,19:46:00,34,29:30:00,34,36:46:00,33,40:14:00,32,51:24:00,30,59:04:00,29,63:47:00,25,68:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3rd Novice,210,"McDonald, Colin",9:00, ,12:30:00, ,17:48:00, ,22:42:00, ,5:51:00, ,14:31:00, ,20:34:00, ,0:26:00, ,11:35:00, ,19:48:00, ,0:40:00, ,5:56:00
,,,"Lozano, David",,36,3:30:00,46,5:18:00,34,4:54:00,43,7:09:00,27,8:40:00,26,6:03:00,40,3:52:00,33,11:09:00,33,8:13:00,23,4:52:00,18,5:16:00
,,,"TC - Jesse, Laura",,36,3:30:00,43,8:48:00,37,13:42:00,38,20:51:00,35,29:31:00,33,35:34:00,32,39:26:00,30,50:35:00,29,58:48:00,27,63:40:00,26,68:56:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2nd Mixed,417,"Hof, Melanie",9:00, ,12:04:00, ,16:32:00, ,20:52:00, ,2:19:00, ,10:37:00, ,16:37:00, ,20:33:00, ,7:08:00, ,14:03:00, ,19:36:00, ,6:18:00
,,,"Cox, Paul",,15,3:04:00,15,4:28:00,18,4:20:00,14,5:27:00,21,8:18:00,24,6:00:00,45,3:56:00,22,10:35:00,17,6:55:00,39,5:33:00,67,10:42:00
,,,"TC - McAdams, Allen",,15,3:04:00,15,7:32:00,16,11:52:00,15,17:19:00,15,25:37:00,17,31:37:00,17,35:33:00,18,46:08:00,20,53:03:00,21,58:36:00,27,69:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4th Men's Solo,1985,"Geisinger, Joseph",9:00, ,12:10:00, ,16:50:00, ,21:35:00, ,3:43:00, ,13:14:00, ,19:15:00, ,23:42:00, ,12:01:00, ,19:18:00, ,0:40:00, ,8:30:00
,,,"TC - Garcia, Elizabeth",,18,3:10:00,22,4:40:00,30,4:45:00,29,6:08:00,34,9:31:00,25,6:01:00,58,4:27:00,42,12:19:00,21,7:17:00,34,5:22:00,47,7:50:00
,,,,,18,3:10:00,22,7:50:00,25,12:35:00,25,18:43:00,31,28:14:00,29,34:15:00,30,38:42:00,31,51:01:00,27,58:18:00,27,63:40:00,28,71:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5th Men's Solo,7018,"Maika, John",9:00, ,12:08:00, ,16:38:00, ,21:14:00, ,2:59:00, ,11:25:00, ,18:40:00, ,22:36:00, ,10:43:00, ,18:48:00, ,0:38:00, ,8:32:00
,,,"TC - Riley, Mike",,16,3:08:00,19,4:30:00,24,4:36:00,19,5:45:00,24,8:26:00,41,7:15:00,45,3:56:00,41,12:07:00,31,8:05:00,43,5:50:00,48,7:54:00
,,,,,16,3:08:00,17,7:38:00,19,12:14:00,18,17:59:00,18,26:25:00,25,33:40:00,25,37:36:00,27,49:43:00,26,57:48:00,26,63:38:00,29,71:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2nd Aluminum,252,"Black, Paul",9:00, ,12:30:00, ,17:37:00, ,22:39:00, ,4:52:00, ,13:13:00, ,19:42:00, ,23:35:00, ,10:39:00, ,19:47:00, ,0:48:00, ,8:37:00
,,,"Hellinger, Mark",,36,3:30:00,41,5:07:00,36,5:02:00,32,6:13:00,22,8:21:00,34,6:29:00,41,3:53:00,32,11:04:00,44,9:08:00,26,5:01:00,46,7:49:00
,,,"TC - Black, Marion",,36,3:30:00,40,8:37:00,36,13:39:00,35,19:52:00,30,28:13:00,31,34:42:00,29,38:35:00,26,49:39:00,28,58:47:00,30,63:48:00,30,71:37:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10th Unlimited,2224,"Nelson, Andrew",9:00, ,12:15:00, ,16:59:00, ,21:40:00, ,3:33:00, ,12:50:00, ,19:15:00, ,23:10:00, ,15:30:00, ,22:55:00, ,3:55:00, ,8:47:00
,,,"Churchman, Peter",,23,3:15:00,25,4:44:00,26,4:41:00,21,5:53:00,33,9:17:00,33,6:25:00,43,3:55:00,72,16:20:00,22,7:25:00,25,5:00:00,13,4:52:00
,,,"Simmons, Michael",,23,3:15:00,24,7:59:00,26,12:40:00,23,18:33:00,26,27:50:00,29,34:15:00,27,38:10:00,37,54:30:00,35,61:55:00,34,66:55:00,31,71:47:00
,,,"TC - Nelson, Alex",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1st Women's Solo,497,"Magee, Erin",9:00, ,12:19:00, ,16:48:00, ,21:21:00, ,3:50:00, ,12:36:00, ,18:25:00, ,23:17:00, ,11:07:00, ,20:04:00, ,3:00:00, ,8:51:00
,,,"TC - Stevenson, Chris",,28,3:19:00,18,4:29:00,22,4:33:00,36,6:29:00,30,8:46:00,19,5:49:00,67,4:52:00,40,11:50:00,40,8:57:00,55,6:56:00,27,5:51:00
,,,,,28,3:19:00,20,7:48:00,21,12:21:00,26,18:50:00,25,27:36:00,22,33:25:00,28,38:17:00,28,50:07:00,30,59:04:00,32,66:00:00,32,71:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2nd USCA C1,53,"Amiran, Edoh",9:00, ,12:26:00, ,17:18:00, ,22:03:00, ,4:15:00, ,12:57:00, ,18:55:00, ,23:42:00, ,11:30:00, ,20:09:00, ,3:00:00, ,9:15:00
,,,"TC - Price, Liam",,31,3:26:00,29,4:52:00,31,4:45:00,30,6:12:00,29,8:42:00,23,5:58:00,65,4:47:00,39,11:48:00,37,8:39:00,54,6:51:00,31,6:15:00
,,,,,31,3:26:00,30,8:18:00,29,13:03:00,28,19:15:00,27,27:57:00,28,33:55:00,30,38:42:00,29,50:30:00,33,59:09:00,33,66:00:00,33,72:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11th Unlimited,1123,"Leef, Rob",9:00, ,12:28:00, ,17:19:00, ,22:12:00, ,4:38:00, ,13:00:00, ,20:20:00, ,1:56:00, ,13:40:00, ,21:52:00, ,4:00:00, ,9:59:00
,,,"Muir, Gordon",,32,3:28:00,28,4:51:00,33,4:53:00,35,6:26:00,23,8:22:00,44,7:20:00,75,5:36:00,38,11:44:00,32,8:12:00,48,6:08:00,29,5:59:00
,,,"Rotan, Jason",,32,3:28:00,31,8:19:00,32,13:12:00,33,19:38:00,28,28:00:00,32,35:20:00,34,40:56:00,34,52:40:00,34,60:52:00,35,67:00:00,34,72:59:00
,,,"Erskine, John",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Kennedy, Gerald",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4th USCA C2,55,"Clark, David",9:00, ,13:07:00, ,18:31:00, ,23:48:00, ,6:13:00, ,15:25:00, ,23:30:00, ,3:01:00, ,13:55:00, ,23:12:00, ,5:22:00, ,11:03:00
,,,"Thomsen, Axel",,69,4:07:00,51,5:24:00,38,5:17:00,34,6:25:00,32,9:12:00,55,8:05:00,30,3:31:00,29,10:54:00,46,9:17:00,49,6:10:00,25,5:41:00
,,,"TC - Thomsen, Alex",,69,4:07:00,60,9:31:00,47,14:48:00,39,21:13:00,37,30:25:00,37,38:30:00,37,42:01:00,35,52:55:00,36,62:12:00,36,68:22:00,35,74:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2nd Women's,1969,"Kohut, Morgan",9:00, ,12:38:00, ,17:54:00, ,23:36:00, ,7:14:00, ,16:53:00, ,0:53:00, ,5:12:00, ,15:54:00, ,0:09:00, ,6:10:00, ,11:10:00
,,,"Richardson, Debbie",,45,3:38:00,44,5:16:00,49,5:42:00,50,7:38:00,35,9:39:00,52,8:00:00,52,4:19:00,26,10:42:00,34,8:15:00,45,6:01:00,16,5:00:00
,,,"Glos, Janie",,45,3:38:00,44,8:54:00,44,14:36:00,46,22:14:00,41,31:53:00,39,39:53:00,40,44:12:00,40,54:54:00,37,63:09:00,37,69:10:00,36,74:10:00
,,,"TC - Kohut, Marilyn",,,,,,,,,,,,,,,,,,,,,,,
