# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:09:41 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08174700 Guadalupe Rv at Hwy 183 nr Hochheim, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08174700
#            TS   parameter     statistic     Description
#        136621       00060     00001     Discharge, cubic feet per second (Maximum)
#        136622       00060     00002     Discharge, cubic feet per second (Minimum)
#        136623       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
#
#
#
#
#
agency_cd	site_no	datetime	136621_00060_00001	136621_00060_00001_cd	136622_00060_00002	136622_00060_00002_cd	136623_00060_00003	136623_00060_00003_cd
USGS	08174700	2010-02-21	2280	A	2000	A	2140	A
USGS	08174700	2010-02-22	2320	A	2110	A	2180	A
USGS	08174700	2010-02-23	2330	A	1900	A	2090	A
USGS	08174700	2010-02-24	2200	A	1990	A	2080	A
USGS	08174700	2010-02-25	2240	A	2070	A	2180	A
USGS	08174700	2010-02-26	2620	A	2110	A	2490	A
USGS	08174700	2010-02-27	2550	A	2480	A	2510	A
USGS	08174700	2010-02-28	2500	A	2450	A	2480	A
USGS	08174700	2010-03-01	2620	A	2450	A	2500	A
USGS	08174700	2010-03-02	2730	A	2610	A	2660	A
USGS	08174700	2010-03-03	2670	A	2610	A	2640	A
USGS	08174700	2010-03-04	2690	A	2610	A	2660	A
USGS	08174700	2010-03-05	2610	A	2470	A	2550	A
USGS	08174700	2010-03-06	2470	A	1940	A	2300	A
USGS	08174700	2010-03-07	1940	A	1700	A	1860	A
USGS	08174700	2010-03-08	1700	A	1480	A	1590	A
USGS	08174700	2010-03-09	1990	A	1530	A	1840	A
USGS	08174700	2010-03-10	1840	A	1300	A	1460	A
USGS	08174700	2010-03-11	1890	A	1560	A	1820	A
USGS	08174700	2010-03-12	1920	A	1870	A	1900	A
USGS	08174700	2010-03-13	2060	A	1720	A	1900	A
USGS	08174700	2010-03-14	1820	A	1650	A	1740	A
USGS	08174700	2010-03-15	1840	A	1510	A	1740	A
USGS	08174700	2010-03-16	1990	A	1510	A	1700	A
USGS	08174700	2010-03-17	2020	A	1780	A	1880	A
USGS	08174700	2010-03-18	1900	A	1690	A	1810	A
USGS	08174700	2010-03-19	1870	A	1490	A	1690	A
USGS	08174700	2010-03-20	2000	A	1800	A	1890	A
USGS	08174700	2010-03-21	1890	A	1550	A	1680	A
USGS	08174700	2010-03-22	1890	A	1620	A	1770	A
USGS	08174700	2010-03-23	2100	A	1710	A	1940	A
USGS	08174700	2010-03-24	2050	A	1460	A	1650	A
USGS	08174700	2010-03-25	1750	A	1460	A	1640	A
USGS	08174700	2010-03-26	1930	A	1570	A	1740	A
USGS	08174700	2010-03-27	2150	A	1720	A	1980	A
USGS	08174700	2010-03-28	1770	A	1480	A	1660	A
USGS	08174700	2010-03-29	1680	A	1360	A	1580	A
USGS	08174700	2010-03-30	1640	A	1340	A	1490	A
USGS	08174700	2010-03-31	1440	A	1310	A	1370	A
USGS	08174700	2010-04-01	1440	A	1230	A	1310	A
USGS	08174700	2010-04-02	1750	A	1270	A	1520	A
USGS	08174700	2010-04-03	1280	A	1170	A	1220	A
USGS	08174700	2010-04-04	1360	A	1260	A	1310	A
USGS	08174700	2010-04-05	1370	A	1200	A	1280	A
USGS	08174700	2010-04-06	1490	A	1230	A	1380	A
USGS	08174700	2010-04-07	1480	A	1230	A	1370	A
USGS	08174700	2010-04-08	1300	A	1110	A	1250	A
USGS	08174700	2010-04-09	1390	A	1100	A	1280	A
USGS	08174700	2010-04-10	1290	A	1090	A	1170	A
USGS	08174700	2010-04-11	1310	A	1090	A	1220	A
USGS	08174700	2010-04-12	1350	A	1080	A	1160	A
USGS	08174700	2010-04-13	1380	A	1060	A	1190	A
USGS	08174700	2010-04-14	1200	A	1090	A	1160	A
USGS	08174700	2010-04-15	1160	A	1070	A	1120	A
USGS	08174700	2010-04-16	1150	A	1050	A	1110	A
USGS	08174700	2010-04-17	3200	A	1070	A	1400	A
USGS	08174700	2010-04-18						
USGS	08174700	2010-04-19						
USGS	08174700	2010-04-20						
USGS	08174700	2010-04-21	2820	A	2240	A	2490	A
USGS	08174700	2010-04-22	2240	A	2020	A	2100	A
USGS	08174700	2010-04-23						
USGS	08174700	2010-04-24						
USGS	08174700	2010-04-25						
USGS	08174700	2010-04-26	2360	A	1700	A	1830	A
USGS	08174700	2010-04-27	1720	A	1290	A	1560	A
USGS	08174700	2010-04-28	1590	A	1290	A	1510	A
USGS	08174700	2010-04-29	2000	A	1330	A	1700	A
USGS	08174700	2010-04-30	1930	A	924	A	1290	A
USGS	08174700	2010-05-01	1600	A	1270	A	1420	A
USGS	08174700	2010-05-02	1270	A	1020	A	1140	A
USGS	08174700	2010-05-03	1230	A	1060	A	1150	A
USGS	08174700	2010-05-04	1200	A	1080	A	1140	A
USGS	08174700	2010-05-05	1150	A	1010	A	1100	A
USGS	08174700	2010-05-06	1150	A	1000	A	1080	A
USGS	08174700	2010-05-07	1050	A	866	A	951	A
USGS	08174700	2010-05-08	1100	A	975	A	1020	A
USGS	08174700	2010-05-09	1110	A	753	A	883	A
USGS	08174700	2010-05-10	928	A	765	A	851	A
USGS	08174700	2010-05-11	1200	A	793	A	1070	A
USGS	08174700	2010-05-12	1160	A	768	A	995	A
USGS	08174700	2010-05-13	982	A	762	A	898	A
USGS	08174700	2010-05-14	1000	A	747	A	880	A
USGS	08174700	2010-05-15						
USGS	08174700	2010-05-16						
USGS	08174700	2010-05-17						
USGS	08174700	2010-05-18						
USGS	08174700	2010-05-19						
USGS	08174700	2010-05-20						
USGS	08174700	2010-05-21						
USGS	08174700	2010-05-22						
USGS	08174700	2010-05-23	1640	A	1290	A	1480	A
USGS	08174700	2010-05-24	1440	A	1280	A	1310	A
USGS	08174700	2010-05-25	1510	A	1180	A	1340	A
USGS	08174700	2010-05-26	1340	A	1050	A	1240	A
USGS	08174700	2010-05-27	1510	A	1040	A	1310	A
USGS	08174700	2010-05-28	1510	A	1050	A	1300	A
USGS	08174700	2010-05-29	1050	A	673	A	836	A
USGS	08174700	2010-05-30	738	A	679	A	710	A
USGS	08174700	2010-05-31	931	A	738	A	866	A
USGS	08174700	2010-06-01	942	A	872	A	913	A
USGS	08174700	2010-06-02	1000	A	859	A	912	A
USGS	08174700	2010-06-03	3410	A	997	A	1750	A
USGS	08174700	2010-06-04	3410	A	1860	A	2450	A
USGS	08174700	2010-06-05	1860	A	829	A	1130	A
USGS	08174700	2010-06-06	1000	A	822	A	966	A
USGS	08174700	2010-06-07	1020	A	778	A	906	A
USGS	08174700	2010-06-08	1040	A	765	A	867	A
USGS	08174700	2010-06-09	1120	A	765	A	904	A
USGS	08174700	2010-06-10						
USGS	08174700	2010-06-11						
USGS	08174700	2010-06-12						
USGS	08174700	2010-06-13						
USGS	08174700	2010-06-14	2940	A	2390	A	2640	A
USGS	08174700	2010-06-15	2390	A	2100	A	2240	A
USGS	08174700	2010-06-16	2100	A	1830	A	1980	A
USGS	08174700	2010-06-17	1830	A	1620	A	1710	A
USGS	08174700	2010-06-18	1630	A	1550	A	1570	A
USGS	08174700	2010-06-19	3030	A	1550	A	1860	A
USGS	08174700	2010-06-20	3520	A	1820	A	3040	A
USGS	08174700	2010-06-21	1820	A	708	A	968	A
USGS	08174700	2010-06-22	793	A	433	A	622	A
USGS	08174700	2010-06-23	564	A	421	A	513	A
USGS	08174700	2010-06-24	886	A	522	A	751	A
USGS	08174700	2010-06-25	1320	A	886	A	1040	A
USGS	08174700	2010-06-26	1670	A	836	A	1370	A
USGS	08174700	2010-06-27						
USGS	08174700	2010-06-28						
USGS	08174700	2010-06-29						
USGS	08174700	2010-06-30						
USGS	08174700	2010-07-01						
USGS	08174700	2010-07-02						
USGS	08174700	2010-07-03						
USGS	08174700	2010-07-04						
USGS	08174700	2010-07-05						
USGS	08174700	2010-07-06						
USGS	08174700	2010-07-07						
USGS	08174700	2010-07-08						
USGS	08174700	2010-07-09						
USGS	08174700	2010-07-10						
USGS	08174700	2010-07-11						
USGS	08174700	2010-07-12						
USGS	08174700	2010-07-13						
USGS	08174700	2010-07-14						
USGS	08174700	2010-07-15						
USGS	08174700	2010-07-16						
USGS	08174700	2010-07-17						
USGS	08174700	2010-07-18						
USGS	08174700	2010-07-19						
USGS	08174700	2010-07-20						
USGS	08174700	2010-07-21						
USGS	08174700	2010-07-22						
USGS	08174700	2010-07-23						
USGS	08174700	2010-07-24						
USGS	08174700	2010-07-25						
USGS	08174700	2010-07-26						
USGS	08174700	2010-07-27						
USGS	08174700	2010-07-28						
USGS	08174700	2010-07-29						
USGS	08174700	2010-07-30						
USGS	08174700	2010-07-31						
USGS	08174700	2010-08-01						
USGS	08174700	2010-08-02						
USGS	08174700	2010-08-03						
USGS	08174700	2010-08-04						
USGS	08174700	2010-08-05						
USGS	08174700	2010-08-06						
USGS	08174700	2010-08-07						
USGS	08174700	2010-08-08						
USGS	08174700	2010-08-09						
USGS	08174700	2010-08-10						
USGS	08174700	2010-08-11						
USGS	08174700	2010-08-12						
USGS	08174700	2010-08-13						
USGS	08174700	2010-08-14						
USGS	08174700	2010-08-15						
USGS	08174700	2010-08-16						
USGS	08174700	2010-08-17						
USGS	08174700	2010-08-18						
USGS	08174700	2010-08-19						
USGS	08174700	2010-08-20						
USGS	08174700	2010-08-21						
USGS	08174700	2010-08-22						
USGS	08174700	2010-08-23						
USGS	08174700	2010-08-24						
USGS	08174700	2010-08-25						
USGS	08174700	2010-08-26						
USGS	08174700	2010-08-27						
USGS	08174700	2010-08-28						
USGS	08174700	2010-08-29						
USGS	08174700	2010-08-30						
USGS	08174700	2010-08-31						
USGS	08174700	2010-09-01						
USGS	08174700	2010-09-02						
USGS	08174700	2010-09-03						
USGS	08174700	2010-09-04						
USGS	08174700	2010-09-05						
USGS	08174700	2010-09-06						
USGS	08174700	2010-09-07						
USGS	08174700	2010-09-08						
USGS	08174700	2010-09-09						
USGS	08174700	2010-09-10						
USGS	08174700	2010-09-11						
USGS	08174700	2010-09-12						
USGS	08174700	2010-09-13						
USGS	08174700	2010-09-14						
USGS	08174700	2010-09-15						
USGS	08174700	2010-09-16						
USGS	08174700	2010-09-17						
USGS	08174700	2010-09-18						
USGS	08174700	2010-09-19						
USGS	08174700	2010-09-20						
USGS	08174700	2010-09-21						
USGS	08174700	2010-09-22						
USGS	08174700	2010-09-23						
USGS	08174700	2010-09-24						
USGS	08174700	2010-09-25						
USGS	08174700	2010-09-26						
USGS	08174700	2010-09-27						
USGS	08174700	2010-09-28						
USGS	08174700	2010-09-29						
USGS	08174700	2010-09-30						
USGS	08174700	2010-10-01						
USGS	08174700	2010-10-02						
USGS	08174700	2010-10-03						
USGS	08174700	2010-10-04						
USGS	08174700	2010-10-05						
USGS	08174700	2010-10-06						
USGS	08174700	2010-10-07						
USGS	08174700	2010-10-08						
USGS	08174700	2010-10-09						
USGS	08174700	2010-10-10						
USGS	08174700	2010-10-11						
USGS	08174700	2010-10-12						
USGS	08174700	2010-10-13						
USGS	08174700	2010-10-14						
USGS	08174700	2010-10-15						
USGS	08174700	2010-10-16						
USGS	08174700	2010-10-17						
USGS	08174700	2010-10-18						
USGS	08174700	2010-10-19						
USGS	08174700	2010-10-20						
USGS	08174700	2010-10-21						
USGS	08174700	2010-10-22						
USGS	08174700	2010-10-23						
USGS	08174700	2010-10-24						
USGS	08174700	2010-10-25						
USGS	08174700	2010-10-26						
USGS	08174700	2010-10-27						
USGS	08174700	2010-10-28						
USGS	08174700	2010-10-29						
USGS	08174700	2010-10-30						
USGS	08174700	2010-10-31						
USGS	08174700	2010-11-01						
USGS	08174700	2010-11-02						
USGS	08174700	2010-11-03						
USGS	08174700	2010-11-04						
USGS	08174700	2010-11-05						
USGS	08174700	2010-11-06						
USGS	08174700	2010-11-07						
USGS	08174700	2010-11-08						
USGS	08174700	2010-11-09						
USGS	08174700	2010-11-10						
USGS	08174700	2010-11-11						
USGS	08174700	2010-11-12						
USGS	08174700	2010-11-13						
USGS	08174700	2010-11-14						
USGS	08174700	2010-11-15						
USGS	08174700	2010-11-16						
USGS	08174700	2010-11-17						
USGS	08174700	2010-11-18						
USGS	08174700	2010-11-19						
USGS	08174700	2010-11-20						
USGS	08174700	2010-11-21						
USGS	08174700	2010-11-22						
USGS	08174700	2010-11-23						
USGS	08174700	2010-11-24						
USGS	08174700	2010-11-25						
USGS	08174700	2010-11-26						
USGS	08174700	2010-11-27						
USGS	08174700	2010-11-28						
USGS	08174700	2010-11-29						
USGS	08174700	2010-11-30						
USGS	08174700	2010-12-01						
USGS	08174700	2010-12-02						
USGS	08174700	2010-12-03						
USGS	08174700	2010-12-04						
USGS	08174700	2010-12-05						
USGS	08174700	2010-12-06						
USGS	08174700	2010-12-07						
USGS	08174700	2010-12-08						
USGS	08174700	2010-12-09						
USGS	08174700	2010-12-10						
USGS	08174700	2010-12-11						
USGS	08174700	2010-12-12						
USGS	08174700	2010-12-13						
USGS	08174700	2010-12-14						
USGS	08174700	2010-12-15						
USGS	08174700	2010-12-16						
USGS	08174700	2010-12-17						
USGS	08174700	2010-12-18						
USGS	08174700	2010-12-19						
USGS	08174700	2010-12-20						
USGS	08174700	2010-12-21						
USGS	08174700	2010-12-22						
USGS	08174700	2010-12-23						
USGS	08174700	2010-12-24						
USGS	08174700	2010-12-25						
USGS	08174700	2010-12-26						
USGS	08174700	2010-12-27						
USGS	08174700	2010-12-28						
USGS	08174700	2010-12-29						
USGS	08174700	2010-12-30						
USGS	08174700	2010-12-31						
USGS	08174700	2011-01-01						
USGS	08174700	2011-01-02						
USGS	08174700	2011-01-03						
USGS	08174700	2011-01-04						
USGS	08174700	2011-01-05						
USGS	08174700	2011-01-06						
USGS	08174700	2011-01-07						
USGS	08174700	2011-01-08						
USGS	08174700	2011-01-09						
USGS	08174700	2011-01-10						
USGS	08174700	2011-01-11						
USGS	08174700	2011-01-12						
USGS	08174700	2011-01-13						
USGS	08174700	2011-01-14						
USGS	08174700	2011-01-15						
USGS	08174700	2011-01-16						
USGS	08174700	2011-01-17						
USGS	08174700	2011-01-18						
USGS	08174700	2011-01-19						
USGS	08174700	2011-01-20						
USGS	08174700	2011-01-21						
USGS	08174700	2011-01-22	559	A	448	A	498	A
USGS	08174700	2011-01-23	544	A	488	A	498	A
USGS	08174700	2011-01-24	626	A	544	A	605	A
USGS	08174700	2011-01-25	632	A	488	A	574	A
USGS	08174700	2011-01-26	577	A	497	A	546	A
USGS	08174700	2011-01-27	577	A	494	A	547	A
USGS	08174700	2011-01-28	571	A	485	A	524	A
USGS	08174700	2011-01-29	584	A	488	A	532	A
USGS	08174700	2011-01-30	613	A	506	A	576	A
USGS	08174700	2011-01-31	682	A	574	A	627	A
USGS	08174700	2011-02-01	670	A	433	A	544	A
USGS	08174700	2011-02-02	1020	A	613	A	848	A
USGS	08174700	2011-02-03	702	A	485	A	596	A
USGS	08174700	2011-02-04	537	A	459	A	498	A
USGS	08174700	2011-02-05	549	A	476	A	510	A
USGS	08174700	2011-02-06	518	A	387	A	443	A
USGS	08174700	2011-02-07	481	A	374	A	412	A
USGS	08174700	2011-02-08	459	A	393	A	427	A
USGS	08174700	2011-02-09	472	A	395	A	429	A
USGS	08174700	2011-02-10	511	A	417	A	457	A
USGS	08174700	2011-02-11	520	A	492	A	507	A
USGS	08174700	2011-02-12	508	A	490	A	499	A
USGS	08174700	2011-02-13	511	A	492	A	499	A
USGS	08174700	2011-02-14	511	A	494	A	503	A
USGS	08174700	2011-02-15	532	A	501	A	514	A
USGS	08174700	2011-02-16	561	A	532	A	549	A
USGS	08174700	2011-02-17	637	A	534	A	569	A
USGS	08174700	2011-02-18	637	A	481	A	560	A
USGS	08174700	2011-02-19	621	A	468	A	505	A
USGS	08174700	2011-02-20	566	A	465	A	536	A
USGS	08174700	2011-02-21	589	A	556	A	564	A
USGS	08174700	2011-02-22	659	A	559	A	577	A
USGS	08174700	2011-02-23	685	A	544	A	594	A
USGS	08174700	2011-02-24	648	A	559	A	589	A
USGS	08174700	2011-02-25	645	A	504	A	559	A
USGS	08174700	2011-02-26	589	A	465	A	517	A
USGS	08174700	2011-02-27	597	A	537	A	573	A
USGS	08174700	2011-02-28	629	A	559	A	594	A
USGS	08174700	2011-03-01	670	A	506	A	608	A
USGS	08174700	2011-03-02	643	A	515	A	583	A
USGS	08174700	2011-03-03	592	A	444	A	518	A
USGS	08174700	2011-03-04	595	A	513	A	554	A
USGS	08174700	2011-03-05	616	A	461	A	554	A
USGS	08174700	2011-03-06	554	A	427	A	506	A
USGS	08174700	2011-03-07	589	A	544	A	565	A
USGS	08174700	2011-03-08	640	A	499	A	577	A
USGS	08174700	2011-03-09	662	A	525	A	610	A
USGS	08174700	2011-03-10	624	A	450	A	535	A
USGS	08174700	2011-03-11	577	A	448	A	500	A
USGS	08174700	2011-03-12	632	A	501	A	572	A
USGS	08174700	2011-03-13	549	A	474	A	515	A
USGS	08174700	2011-03-14	577	A	539	A	546	A
USGS	08174700	2011-03-15	637	A	506	A	576	A
USGS	08174700	2011-03-16	600	A	504	A	552	A
USGS	08174700	2011-03-17	584	A	499	A	543	A
USGS	08174700	2011-03-18	564	A	470	A	510	A
USGS	08174700	2011-03-19	589	A	474	A	529	A
USGS	08174700	2011-03-20	645	A	559	A	572	A
USGS	08174700	2011-03-21	659	A	552	A	587	A
USGS	08174700	2011-03-22	648	A	494	A	562	A
USGS	08174700	2011-03-23	648	A	490	A	560	A
USGS	08174700	2011-03-24	648	A	494	A	551	A
USGS	08174700	2011-03-25	676	A	515	A	602	A
USGS	08174700	2011-03-26	566	A	485	A	525	A
USGS	08174700	2011-03-27	549	A	488	A	519	A
USGS	08174700	2011-03-28	648	A	488	A	536	A
USGS	08174700	2011-03-29	690	A	532	A	584	A
USGS	08174700	2011-03-30	637	A	494	A	560	A
USGS	08174700	2011-03-31	643	A	481	A	549	A
USGS	08174700	2011-04-01	632	A	485	A	546	A
USGS	08174700	2011-04-02	634	A	494	A	550	A
USGS	08174700	2011-04-03	610	A	539	A	555	A
USGS	08174700	2011-04-04	662	A	511	A	587	A
USGS	08174700	2011-04-05	597	A	433	A	473	A
USGS	08174700	2011-04-06	610	A	527	A	553	A
USGS	08174700	2011-04-07	559	A	450	A	507	A
USGS	08174700	2011-04-08	554	A	454	A	490	A
USGS	08174700	2011-04-09	501	A	450	A	475	A
USGS	08174700	2011-04-10	552	A	476	A	521	A
USGS	08174700	2011-04-11	676	A	494	A	539	A
USGS	08174700	2011-04-12	705	A	409	A	527	A
USGS	08174700	2011-04-13	571	A	310	A	430	A
USGS	08174700	2011-04-14	656	A	476	A	572	A
