# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:06:20 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08173900 Guadalupe Rv at Gonzales, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08173900
#            TS   parameter     statistic     Description
#        136613       00065     00003     Gage height, feet (Mean)
#        136614       00060     00003     Discharge, cubic feet per second (Mean)
#        173853       00060     00001     Discharge, cubic feet per second (Maximum)
#        173854       00060     00002     Discharge, cubic feet per second (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=08173900&ts_ids=136614,173853,173854,136613]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	136613_00065_00003	136613_00065_00003_cd	136614_00060_00003	136614_00060_00003_cd	173853_00060_00001	173853_00060_00001_cd	173854_00060_00002	173854_00060_00002_cd
USGS	08173900	1996-10-29	11.83	A	309	A	480	A	173	A
USGS	08173900	1996-10-30	12.23	A	410	A	572	A	251	A
USGS	08173900	1996-10-31	11.93	A	323	A	428	A	179	A
USGS	08173900	1996-11-01	12.32	A	445	A	624	A	241	A
USGS	08173900	1996-11-02	12.46	A	462	A	530	A	441	A
USGS	08173900	1996-11-03	12.19	A	395	A	512	A	198	A
USGS	08173900	1996-11-04	12.69	A	562	A	922	A	370	A
USGS	08173900	1996-11-05	12.56	A	505	A	760	A	253	A
USGS	08173900	1996-11-06			530	A:e				
USGS	08173900	1996-11-07			580	A:e				
USGS	08173900	1996-11-08			340	A:e				
USGS	08173900	1996-11-09	12.28	A	419	A	508	A	185	A
USGS	08173900	1996-11-10	12.17	A	396	A	523	A	183	A
USGS	08173900	1996-11-11	11.87	A	313	A	457	A	183	A
USGS	08173900	1996-11-12	12.23	A	415	A	624	A	239	A
USGS	08173900	1996-11-13	12.09	A	379	A	583	A	172	A
USGS	08173900	1996-11-14	12.12	A	393	A	591	A	169	A
USGS	08173900	1996-11-15	11.94	A	331	A	470	A	185	A
USGS	08173900	1996-11-16	12.13	A	375	A	519	A	247	A
USGS	08173900	1996-11-17	12.33	A	438	A	553	A	256	A
USGS	08173900	1996-11-18	12.08	A	378	A	632	A	172	A
USGS	08173900	1996-11-19	12.15	A	395	A	576	A	173	A
USGS	08173900	1996-11-20	11.93	A	329	A	460	A	185	A
USGS	08173900	1996-11-21	12.34	A	447	A	591	A	253	A
USGS	08173900	1996-11-22	12.16	A	389	A	490	A	175	A
USGS	08173900	1996-11-23	12.04	A	363	A	490	A	165	A
USGS	08173900	1996-11-24	12.26	A	420	A	541	A	172	A
USGS	08173900	1996-11-25	12.92	A	666	A	911	A	410	A
USGS	08173900	1996-11-26	12.62	A	535	A	888	A	434	A
USGS	08173900	1996-11-27	12.24	A	411	A	556	A	192	A
USGS	08173900	1996-11-28	12.16	A	391	A	508	A	175	A
USGS	08173900	1996-11-29	12.23	A	414	A	538	A	175	A
USGS	08173900	1996-11-30	12.47	A	470	A	572	A	410	A
USGS	08173900	1996-12-01	12.48	A	484	A	620	A	241	A
USGS	08173900	1996-12-02	12.33	A	442	A	595	A	202	A
USGS	08173900	1996-12-03	12.25	A	418	A	576	A	245	A
USGS	08173900	1996-12-04	12.48	A	476	A	541	A	317	A
USGS	08173900	1996-12-05	12.52	A	488	A	553	A	326	A
USGS	08173900	1996-12-06	12.36	A	448	A	564	A	210	A
USGS	08173900	1996-12-07	12.42	A	460	A	568	A	260	A
USGS	08173900	1996-12-08	12.53	A	495	A	564	A	301	A
USGS	08173900	1996-12-09	12.38	A	456	A	599	A	208	A
USGS	08173900	1996-12-10	12.60	A	515	A	576	A	419	A
USGS	08173900	1996-12-11	12.25	A	406	A	538	A	225	A
USGS	08173900	1996-12-12	12.58	A	507	A	632	A	373	A
USGS	08173900	1996-12-13	12.50	A	488	A	636	A	236	A
USGS	08173900	1996-12-14	12.28	A	419	A	560	A	208	A
USGS	08173900	1996-12-15	12.59	A	521	A	658	A	303	A
USGS	08173900	1996-12-16	12.60	A	526	A	636	A	237	A
USGS	08173900	1996-12-17	12.98	A	666	A	736	A	541	A
USGS	08173900	1996-12-18	13.00	A	681	A	893	A	477	A
USGS	08173900	1996-12-19	12.56	A	527	A	770	A	195	A
USGS	08173900	1996-12-20	12.64	A	527	A	731	A	463	A
USGS	08173900	1996-12-21	12.70	A	550	A	560	A	541	A
USGS	08173900	1996-12-22	12.60	A	516	A	564	A	413	A
USGS	08173900	1996-12-23	12.55	A	494	A	545	A	425	A
USGS	08173900	1996-12-24	12.70	A	548	A	564	A	505	A
USGS	08173900	1996-12-25	12.43	A	458	A	564	A	329	A
USGS	08173900	1996-12-26	12.70	A	551	A	703	A	490	A
USGS	08173900	1996-12-27	12.63	A	523	A	556	A	444	A
USGS	08173900	1996-12-28	12.60	A	512	A	553	A	434	A
USGS	08173900	1996-12-29	12.44	A	467	A	553	A	296	A
USGS	08173900	1996-12-30	12.70	A	550	A	624	A	447	A
USGS	08173900	1996-12-31	12.92	A	638	A	717	A	579	A
USGS	08173900	1997-01-01	12.83	A	598	A	636	A	579	A
USGS	08173900	1997-01-02	12.74	A	565	A	579	A	467	A
USGS	08173900	1997-01-03	12.59	A	509	A	560	A	450	A
USGS	08173900	1997-01-04	12.67	A	540	A	583	A	463	A
USGS	08173900	1997-01-05	12.59	A	514	A	583	A	339	A
USGS	08173900	1997-01-06	12.53	A	492	A	564	A	314	A
USGS	08173900	1997-01-07	12.64	A	533	A	775	A	450	A
USGS	08173900	1997-01-08	12.58	A	505	A	712	A	460	A
USGS	08173900	1997-01-09			487	A				
USGS	08173900	1997-01-10			517	A				
USGS	08173900	1997-01-11			458	A				
USGS	08173900	1997-01-12			503	A				
USGS	08173900	1997-01-13	12.53	A	493	A	745	A	431	A
USGS	08173900	1997-01-14	12.48	A	473	A	731	A	422	A
USGS	08173900	1997-01-15	12.55	A	493	A	530	A	444	A
USGS	08173900	1997-01-16	12.60	A	512	A	587	A	463	A
USGS	08173900	1997-01-17	12.87	A	618	A	736	A	553	A
USGS	08173900	1997-01-18	12.53	A	488	A	556	A	378	A
USGS	08173900	1997-01-19	12.70	A	550	A	707	A	460	A
USGS	08173900	1997-01-20	12.62	A	519	A	545	A	473	A
USGS	08173900	1997-01-21	12.69	A	544	A	572	A	490	A
USGS	08173900	1997-01-22	12.70	A	554	A	694	A	384	A
USGS	08173900	1997-01-23	12.53	A	520	A	806	A	197	A
USGS	08173900	1997-01-24	12.57	A	501	A	545	A	450	A
USGS	08173900	1997-01-25	12.66	A	536	A	549	A	512	A
USGS	08173900	1997-01-26	12.61	A	516	A	568	A	437	A
USGS	08173900	1997-01-27	12.59	A	510	A	636	A	370	A
USGS	08173900	1997-01-28	12.66	A	539	A	822	A	450	A
USGS	08173900	1997-01-29	12.58	A	511	A	556	A	467	A
USGS	08173900	1997-01-30	12.60	A	520	A	576	A	419	A
USGS	08173900	1997-01-31	12.58	A	514	A	553	A	373	A
USGS	08173900	1997-02-01	12.60	A	523	A	568	A	463	A
USGS	08173900	1997-02-02	12.61	A	529	A	564	A	480	A
USGS	08173900	1997-02-03	12.70	A	564	A	671	A	378	A
USGS	08173900	1997-02-04	12.67	A	552	A	607	A	473	A
USGS	08173900	1997-02-05	12.57	A	512	A	568	A	457	A
USGS	08173900	1997-02-06	12.49	A	493	A	568	A	301	A
USGS	08173900	1997-02-07	12.64	A	543	A	591	A	467	A
USGS	08173900	1997-02-08	12.50	A	492	A	560	A	450	A
USGS	08173900	1997-02-09	12.51	A	496	A	556	A	450	A
USGS	08173900	1997-02-10	12.36	A	461	A	579	A	256	A
USGS	08173900	1997-02-11	12.58	A	525	A	599	A	453	A
USGS	08173900	1997-02-12	12.59	A	528	A	611	A	460	A
USGS	08173900	1997-02-13	12.67	A	561	A	680	A	460	A
USGS	08173900	1997-02-14	13.46	A	934	A	1120	A	645	A
USGS	08173900	1997-02-15	13.11	A	750	A	922	A	591	A
USGS	08173900	1997-02-16	12.73	A	583	A	703	A	422	A
USGS	08173900	1997-02-17	12.88	A	641	A	849	A	538	A
USGS	08173900	1997-02-18	12.78	A	595	A	628	A	523	A
USGS	08173900	1997-02-19	12.76	A	587	A	620	A	519	A
USGS	08173900	1997-02-20	12.96	A	670	A	780	A	583	A
USGS	08173900	1997-02-21	13.12	A	748	A	882	A	636	A
USGS	08173900	1997-02-22	13.45	A	920	A	1000	A	822	A
USGS	08173900	1997-02-23	13.68	A	1050	A	1220	A	827	A
USGS	08173900	1997-02-24	13.94	A	1230	A	1660	A	999	A
USGS	08173900	1997-02-25	13.89	A	1200	A	1670	A	726	A
USGS	08173900	1997-02-26	14.26	A	1460	A	1660	A	1160	A
USGS	08173900	1997-02-27	14.35	A	1520	A	1550	A	1500	A
USGS	08173900	1997-02-28	14.10	A	1340	A	1540	A	731	A
USGS	08173900	1997-03-01	14.51	A	1630	A	1900	A	1480	A
USGS	08173900	1997-03-02	14.54	A	1660	A	1810	A	1560	A
USGS	08173900	1997-03-03	14.09	A	1320	A	1610	A	628	A
USGS	08173900	1997-03-04	14.00	A	1240	A	1320	A	1210	A
USGS	08173900	1997-03-05	14.26	A	1430	A	1480	A	1310	A
USGS	08173900	1997-03-06	14.20	A	1410	A	1780	A	736	A
USGS	08173900	1997-03-07	14.39	A	1540	A	1630	A	1460	A
USGS	08173900	1997-03-08	14.34	A	1500	A	1690	A	1410	A
USGS	08173900	1997-03-09	14.31	A	1470	A	1500	A	1360	A
USGS	08173900	1997-03-10	13.85	A	1170	A	1470	A	494	A
USGS	08173900	1997-03-11	13.85	A	1140	A	1240	A	1070	A
USGS	08173900	1997-03-12	13.94	A	1220	A	1600	A	755	A
USGS	08173900	1997-03-13	14.10	A	1310	A	1390	A	1180	A
USGS	08173900	1997-03-14	13.91	A	1180	A	1250	A	838	A
USGS	08173900	1997-03-15	14.20	A	1380	A	1430	A	1220	A
USGS	08173900	1997-03-16	14.66	A	1720	A	2530	A	1360	A
USGS	08173900	1997-03-17	16.07	A	2740	A	2850	A	2530	A
USGS	08173900	1997-03-18	15.43	A	2260	A	2630	A	2040	A
USGS	08173900	1997-03-19	15.14	A	2070	A	2270	A	1930	A
USGS	08173900	1997-03-20	14.69	A	1810	A	1930	A	1760	A
USGS	08173900	1997-03-21	14.49	A	1710	A	1770	A	1550	A
USGS	08173900	1997-03-22	14.46	A	1720	A	1740	A	1660	A
USGS	08173900	1997-03-23	14.18	A	1530	A	1730	A	1380	A
USGS	08173900	1997-03-24	13.94	A	1360	A	1510	A	1240	A
USGS	08173900	1997-03-25	13.86	A	1330	A	1560	A	838	A
USGS	08173900	1997-03-26	13.88	A	1330	A	1480	A	1000	A
USGS	08173900	1997-03-27	13.84	A	1310	A	1430	A	1220	A
USGS	08173900	1997-03-28	13.94	A	1380	A	1470	A	1250	A
USGS	08173900	1997-03-29	13.87	A	1340	A	1380	A	1260	A
USGS	08173900	1997-03-30	13.96	A	1410	A	1490	A	1310	A
USGS	08173900	1997-03-31	13.76	A	1280	A	1620	A	843	A
USGS	08173900	1997-04-01	13.93	A	1390	A	1470	A	1310	A
USGS	08173900	1997-04-02	14.47	A	1800	A	2030	A	1430	A
USGS	08173900	1997-04-03	16.09	A	2920	A	3500	A	2010	A
USGS	08173900	1997-04-04	17.49	A	3840	A	4460	A	3110	A
USGS	08173900	1997-04-05	17.89	A	3970	A	4970	A	3370	A
USGS	08173900	1997-04-06	19.76	A	5000	A	5110	A	4830	A
USGS	08173900	1997-04-07	19.13	A	4460	A	4870	A	3630	A
USGS	08173900	1997-04-08	17.15	A	3160	A	3650	A	2850	A
USGS	08173900	1997-04-09	17.04	A	3120	A	4120	A	2720	A
USGS	08173900	1997-04-10	19.01	A	4430	A	4780	A	4120	A
USGS	08173900	1997-04-11	19.67	A	4860	A	4940	A	4730	A
USGS	08173900	1997-04-12	19.36	A	4690	A	4790	A	4340	A
USGS	08173900	1997-04-13	16.03	A	2490	A	4340	A	1690	A
USGS	08173900	1997-04-14	14.77	A	1650	A	1740	A	1500	A
USGS	08173900	1997-04-15	14.71	A	1630	A	2030	A	1500	A
USGS	08173900	1997-04-16	18.27	A	4050	A	4970	A	2030	A
USGS	08173900	1997-04-17	19.70	A	5000	A	5120	A	4910	A
USGS	08173900	1997-04-18	19.17	A	4680	A	5010	A	4110	A
USGS	08173900	1997-04-19	17.60	A	3670	A	4110	A	3200	A
USGS	08173900	1997-04-20	15.28	A	2070	A	3200	A	1860	A
USGS	08173900	1997-04-21	14.81	A	1760	A	1880	A	1560	A
USGS	08173900	1997-04-22	14.63	A	1640	A	1730	A	1540	A
USGS	08173900	1997-04-23	15.24	A	2060	A	3140	A	1710	A
USGS	08173900	1997-04-24	17.40	A	3520	A	3770	A	3140	A
USGS	08173900	1997-04-25	16.01	A	2580	A	3330	A	1750	A
USGS	08173900	1997-04-26	17.73	A	3720	A	4830	A	1750	A
USGS	08173900	1997-04-27	19.15	A	4670	A	4810	A	4510	A
USGS	08173900	1997-04-28	18.33	A	4140	A	4560	A	3240	A
USGS	08173900	1997-04-29	16.29	A	2800	A	3240	A	2510	A
USGS	08173900	1997-04-30	15.59	A	2290	A	2510	A	2060	A
USGS	08173900	1997-05-01	17.12	A	3340	A	4120	A	2050	A
USGS	08173900	1997-05-02	18.11	A	4020	A	4120	A	3760	A
USGS	08173900	1997-05-03	15.99	A	2560	A	3760	A	1910	A
USGS	08173900	1997-05-04	15.02	A	1890	A	1930	A	1810	A
USGS	08173900	1997-05-05	14.78	A	1740	A	1930	A	1600	A
USGS	08173900	1997-05-06	14.60	A	1620	A	1890	A	1160	A
USGS	08173900	1997-05-07	14.50	A	1540	A	1750	A	1200	A
USGS	08173900	1997-05-08	14.55	A	1570	A	1760	A	1380	A
USGS	08173900	1997-05-09	14.66	A	1660	A	1750	A	1260	A
USGS	08173900	1997-05-10	14.84	A	1780	A	1880	A	1740	A
USGS	08173900	1997-05-11	14.74	A	1710	A	1890	A	1540	A
USGS	08173900	1997-05-12	14.28	A	1380	A	1750	A	882	A
USGS	08173900	1997-05-13	14.65	A	1650	A	1750	A	1550	A
USGS	08173900	1997-05-14	14.79	A	1750	A	1830	A	1670	A
USGS	08173900	1997-05-15	14.54	A	1570	A	1740	A	1300	A
USGS	08173900	1997-05-16	14.85	A	1790	A	1970	A	1590	A
USGS	08173900	1997-05-17	15.55	A	2250	A	2440	A	1960	A
USGS	08173900	1997-05-18	15.04	A	1910	A	2280	A	1680	A
USGS	08173900	1997-05-19	14.60	A	1620	A	1690	A	1540	A
USGS	08173900	1997-05-20	14.69	A	1690	A	1770	A	1630	A
USGS	08173900	1997-05-21	15.08	A	1940	A	2360	A	1600	A
USGS	08173900	1997-05-22	15.01	A	1890	A	2360	A	1540	A
USGS	08173900	1997-05-23	14.78	A	1740	A	1780	A	1670	A
USGS	08173900	1997-05-24	14.58	A	1600	A	1720	A	1400	A
USGS	08173900	1997-05-25	15.14	A	1970	A	2350	A	1400	A
USGS	08173900	1997-05-26	15.57	A	2270	A	2380	A	2070	A
USGS	08173900	1997-05-27	15.20	A	2020	A	3280	A	1810	A
USGS	08173900	1997-05-28	16.90	A	3190	A	4680	A	2320	A
USGS	08173900	1997-05-29	17.41	A	3510	A	5120	A	2240	A
USGS	08173900	1997-05-30	19.31	A	4770	A	5040	A	4460	A
USGS	08173900	1997-05-31	18.79	A	4440	A	4520	A	4390	A
USGS	08173900	1997-06-01			4760	A				
USGS	08173900	1997-06-02			4800	A				
USGS	08173900	1997-06-03	19.05	A	4600	A	4820	A	3830	A
USGS	08173900	1997-06-04	15.84	A	2460	A	3830	A	1920	A
USGS	08173900	1997-06-05	15.77	A	2410	A	2880	A	2030	A
USGS	08173900	1997-06-06	15.61	A	2290	A	2970	A	2160	A
USGS	08173900	1997-06-07			4650	A				
USGS	08173900	1997-06-08	19.73	A	5040	A	5180	A	4910	A
USGS	08173900	1997-06-09	19.74	A	5050	A	5180	A	4920	A
USGS	08173900	1997-06-10	19.69	A	5010	A	5140	A	4900	A
USGS	08173900	1997-06-11	19.76	A	5060	A	5310	A	4890	A
USGS	08173900	1997-06-12	19.79	A	5080	A	5230	A	4890	A
USGS	08173900	1997-06-13	19.69	A	5010	A	5200	A	4680	A
USGS	08173900	1997-06-14	19.68	A	5010	A	5280	A	4570	A
USGS	08173900	1997-06-15			4190	A				
USGS	08173900	1997-06-16	17.95	A	3900	A	4320	A	3460	A
USGS	08173900	1997-06-17	18.25	A	4080	A	5250	A	3380	A
USGS	08173900	1997-06-18			5070	A				
USGS	08173900	1997-06-19	19.78	A	5070	A	5210	A	4910	A
USGS	08173900	1997-06-20	19.81	A	5090	A	5190	A	4960	A
USGS	08173900	1997-06-21	19.11	A	4640	A	5060	A	4360	A
USGS	08173900	1997-06-22	19.76	A	5060	A	5210	A	4650	A
USGS	08173900	1997-06-23	19.79	A	6260	A:e	5170	A	4980	A
USGS	08173900	1997-06-24	19.81	A	17400	A:e	5300	A	4970	A
USGS	08173900	1997-06-25	25.69	A	13700	A:e	13500	A	4850	A
USGS	08173900	1997-06-26	24.60	A	7600	A	10700	A	5770	A
USGS	08173900	1997-06-27			5270	A				
USGS	08173900	1997-06-28	20.91	A	5690	A	6830	A	4790	A
USGS	08173900	1997-06-29	24.17	A	7240	A	7400	A	6830	A
USGS	08173900	1997-06-30	24.09	A	7200	A	7370	A	6990	A
USGS	08173900	1997-07-01	23.82	A	7060	A	7100	A	6950	A
USGS	08173900	1997-07-02	23.58	A	6950	A	6980	A	6900	A
USGS	08173900	1997-07-03	23.40	A	6860	A	6920	A	6770	A
USGS	08173900	1997-07-04	23.14	A	6740	A	6790	A	6690	A
USGS	08173900	1997-07-05	22.93	A	6640	A	6700	A	6580	A
USGS	08173900	1997-07-06	22.76	A	6560	A	6600	A	6510	A
USGS	08173900	1997-07-07	22.55	A	6460	A	6530	A	6410	A
USGS	08173900	1997-07-08	22.44	A	6410	A	6470	A	6370	A
USGS	08173900	1997-07-09	22.32	A	6360	A	6380	A	6320	A
USGS	08173900	1997-07-10	22.21	A	6300	A	6340	A	6270	A
USGS	08173900	1997-07-11	22.14	A	6270	A	6310	A	6210	A
USGS	08173900	1997-07-12	21.99	A	6210	A	6230	A	6180	A
USGS	08173900	1997-07-13			6170	A				
USGS	08173900	1997-07-14			6130	A				
USGS	08173900	1997-07-15	21.74	A	6090	A	6120	A	6060	A
USGS	08173900	1997-07-16	21.67	A	6060	A	6080	A	6030	A
USGS	08173900	1997-07-17	21.58	A	6020	A	6050	A	5990	A
USGS	08173900	1997-07-18	21.52	A	5990	A	6020	A	5920	A
USGS	08173900	1997-07-19	21.45	A	5960	A	6010	A	5920	A
USGS	08173900	1997-07-20	21.41	A	5940	A	5970	A	5920	A
USGS	08173900	1997-07-21	21.35	A	5920	A	5950	A	5870	A
USGS	08173900	1997-07-22	21.20	A	5850	A	5930	A	5650	A
USGS	08173900	1997-07-23	21.04	A	5780	A	5850	A	5670	A
USGS	08173900	1997-07-24	21.15	A	5830	A	5870	A	5810	A
USGS	08173900	1997-07-25	21.13	A	5820	A	5870	A	5780	A
USGS	08173900	1997-07-26	21.02	A	5770	A	5800	A	5740	A
USGS	08173900	1997-07-27	20.98	A	5760	A	5800	A	5730	A
USGS	08173900	1997-07-28	20.89	A	5720	A	5750	A	5670	A
USGS	08173900	1997-07-29			5720	A				
USGS	08173900	1997-07-30	20.81	A	5690	A	5710	A	5660	A
USGS	08173900	1997-07-31	20.82	A	5690	A	5720	A	5660	A
USGS	08173900	1997-08-01	20.85	A	5700	A	5720	A	5660	A
USGS	08173900	1997-08-02	20.78	A	5670	A	5710	A	5650	A
USGS	08173900	1997-08-03	20.80	A	5680	A	5730	A	5650	A
USGS	08173900	1997-08-04	20.88	A	5710	A	5740	A	5600	A
USGS	08173900	1997-08-05	19.34	A	4930	A	5600	A	4160	A
USGS	08173900	1997-08-06	17.07	A	3470	A	4160	A	3140	A
USGS	08173900	1997-08-07	15.66	A	2500	A	3140	A	2190	A
USGS	08173900	1997-08-08	14.98	A	2020	A	2230	A	1800	A
USGS	08173900	1997-08-09			2140	A				
USGS	08173900	1997-08-10	14.80	A	1900	A	1990	A	1870	A
USGS	08173900	1997-08-11	14.80	A	1910	A	2050	A	1840	A
USGS	08173900	1997-08-12	14.78	A	1890	A	2030	A	1720	A
USGS	08173900	1997-08-13	14.84	A	1930	A	1950	A	1890	A
USGS	08173900	1997-08-14	14.91	A	1980	A	2280	A	1870	A
USGS	08173900	1997-08-15	15.71	A	2560	A	2870	A	2280	A
USGS	08173900	1997-08-16	15.22	A	2190	A	2500	A	1860	A
USGS	08173900	1997-08-17	14.40	A	1650	A	1860	A	1550	A
USGS	08173900	1997-08-18	14.45	A	1690	A	1820	A	1530	A
USGS	08173900	1997-08-19	14.29	A	1570	A	1690	A	1310	A
USGS	08173900	1997-08-20	14.15	A	1450	A	1630	A	1290	A
USGS	08173900	1997-08-21	13.97	A	1320	A	1560	A	1070	A
USGS	08173900	1997-08-22	14.07	A	1390	A	1560	A	1260	A
USGS	08173900	1997-08-23	13.91	A	1280	A	1500	A	1240	A
USGS	08173900	1997-08-24	14.02	A	1370	A	1520	A	1140	A
USGS	08173900	1997-08-25	13.96	A	1320	A	1490	A	1120	A
USGS	08173900	1997-08-26	14.14	A	1470	A	1600	A	1120	A
USGS	08173900	1997-08-27	13.76	A	1200	A	1400	A	1000	A
USGS	08173900	1997-08-28	13.74	A	1180	A	1240	A	983	A
USGS	08173900	1997-08-29	13.51	A	1040	A	1150	A	940	A
USGS	08173900	1997-08-30	13.67	A	1140	A	1350	A	977	A
USGS	08173900	1997-08-31	13.42	A	1000	A	1130	A	951	A
USGS	08173900	1997-09-01	13.60	A	1100	A	1150	A	1040	A
USGS	08173900	1997-09-02	13.49	A	1040	A	1100	A	945	A
USGS	08173900	1997-09-03	13.49	A	1050	A	1180	A	871	A
USGS	08173900	1997-09-04	13.79	A	1230	A	1320	A	1150	A
USGS	08173900	1997-09-05	13.61	A	1120	A	1240	A	1030	A
USGS	08173900	1997-09-06	13.59	A	1110	A	1190	A	1090	A
USGS	08173900	1997-09-07	13.90	A	1320	A	1490	A	1190	A
USGS	08173900	1997-09-08	13.73	A	1210	A	1440	A	1070	A
USGS	08173900	1997-09-09	13.62	A	1140	A	1220	A	956	A
USGS	08173900	1997-09-10	13.33	A	1000	A	1470	A	564	A
USGS	08173900	1997-09-11	13.93	A	1370	A	1660	A	1170	A
USGS	08173900	1997-09-12	13.06	A	863	A	1430	A	512	A
USGS	08173900	1997-09-13	13.31	A	984	A	1180	A	553	A
USGS	08173900	1997-09-14	13.52	A	1090	A	1130	A	1090	A
USGS	08173900	1997-09-15	13.48	A	1080	A	1240	A	888	A
USGS	08173900	1997-09-16	13.44	A	1050	A	1120	A	888	A
USGS	08173900	1997-09-17	13.58	A	1140	A	1500	A	934	A
USGS	08173900	1997-09-18	13.59	A	1170	A	1740	A	717	A
USGS	08173900	1997-09-19	13.32	A	984	A	1060	A	843	A
USGS	08173900	1997-09-20	13.03	A	830	A	999	A	534	A
USGS	08173900	1997-09-21	13.41	A	1030	A	1040	A	988	A
USGS	08173900	1997-09-22	13.31	A	995	A	1370	A	508	A
USGS	08173900	1997-09-23	13.45	A	1060	A	1310	A	703	A
USGS	08173900	1997-09-24	13.67	A	1200	A	1780	A	1020	A
USGS	08173900	1997-09-25	13.42	A	1040	A	1160	A	707	A
USGS	08173900	1997-09-26	13.45	A	1050	A	1080	A	994	A
USGS	08173900	1997-09-27	13.46	A	1070	A	1640	A	956	A
USGS	08173900	1997-09-28	13.38	A	1010	A	1050	A	956	A
USGS	08173900	1997-09-29	13.33	A	986	A	1260	A	620	A
USGS	08173900	1997-09-30	13.39	A	1020	A	1070	A	945	A
USGS	08173900	1997-10-01	12.81	A	693	A	949	A	454	A
USGS	08173900	1997-10-02	12.97	A	785	A	1050	A	346	A
USGS	08173900	1997-10-03	12.85	A	718	A	1020	A	450	A
USGS	08173900	1997-10-04	12.58	A	560	A	746	A	441	A
USGS	08173900	1997-10-05	12.75	A	650	A	831	A	472	A
USGS	08173900	1997-10-06	12.98	A	786	A	1030	A	441	A
USGS	08173900	1997-10-07	12.86	A	737	A	1030	A	197	A
USGS	08173900	1997-10-08	13.28	A	957	A	984	A	944	A
USGS	08173900	1997-10-09	13.37	A	1010	A	1400	A	712	A
USGS	08173900	1997-10-10	12.98	A	786	A	1100	A	446	A
USGS	08173900	1997-10-11	13.50	A	1080	A	1200	A	794	A
USGS	08173900	1997-10-12	14.56	A	1710	A	2230	A	939	A
USGS	08173900	1997-10-13	16.29	A	2860	A	3940	A	1910	A
