# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:11:12 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08175800 Guadalupe Rv at Cuero, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08175800
#            TS   parameter     statistic     Description
#        136626       00060     00001     Discharge, cubic feet per second (Maximum)
#        136627       00060     00002     Discharge, cubic feet per second (Minimum)
#        136629       00065     00001     Gage height, feet (Maximum)
#        136630       00065     00002     Gage height, feet (Minimum)
#        136631       00065     00003     Gage height, feet (Mean)
#        325715       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	136626_00060_00001	136626_00060_00001_cd	136627_00060_00002	136627_00060_00002_cd	136629_00065_00001	136629_00065_00001_cd	136630_00065_00002	136630_00065_00002_cd	136631_00065_00003	136631_00065_00003_cd	325715_00060_00003	325715_00060_00003_cd
USGS	08175800	1970-11-10											691	A
USGS	08175800	1970-11-11											680	A
USGS	08175800	1970-11-12											676	A
USGS	08175800	1970-11-13											672	A
USGS	08175800	1970-11-14											656	A
USGS	08175800	1970-11-15											658	A
USGS	08175800	1970-11-16											632	A
USGS	08175800	1970-11-17											632	A
USGS	08175800	1970-11-18											642	A
USGS	08175800	1970-11-19											643	A
USGS	08175800	1970-11-20											656	A
USGS	08175800	1970-11-21											666	A
USGS	08175800	1970-11-22											660	A
USGS	08175800	1970-11-23											625	A
USGS	08175800	1970-11-24											597	A
USGS	08175800	1970-11-25											628	A
USGS	08175800	1970-11-26											634	A
USGS	08175800	1970-11-27											638	A
USGS	08175800	1970-11-28											647	A
USGS	08175800	1970-11-29											659	A
USGS	08175800	1970-11-30											679	A
USGS	08175800	1970-12-01											672	A
USGS	08175800	1970-12-02											652	A
USGS	08175800	1970-12-03											660	A
USGS	08175800	1970-12-04											680	A
USGS	08175800	1970-12-05											658	A
USGS	08175800	1970-12-06											647	A
USGS	08175800	1970-12-07											644	A
USGS	08175800	1970-12-08											634	A
USGS	08175800	1970-12-09											646	A
USGS	08175800	1970-12-10											751	A
USGS	08175800	1970-12-11											642	A
USGS	08175800	1970-12-12											540	A
USGS	08175800	1970-12-13											621	A
USGS	08175800	1970-12-14											646	A
USGS	08175800	1970-12-15											652	A
USGS	08175800	1970-12-16											723	A
USGS	08175800	1970-12-17											676	A
USGS	08175800	1970-12-18											554	A
USGS	08175800	1970-12-19											631	A
USGS	08175800	1970-12-20											656	A
USGS	08175800	1970-12-21											646	A
USGS	08175800	1970-12-22											655	A
USGS	08175800	1970-12-23											666	A
USGS	08175800	1970-12-24											656	A
USGS	08175800	1970-12-25											635	A
USGS	08175800	1970-12-26											640	A
USGS	08175800	1970-12-27											634	A
USGS	08175800	1970-12-28											634	A
USGS	08175800	1970-12-29											637	A
USGS	08175800	1970-12-30											641	A
USGS	08175800	1970-12-31											643	A
USGS	08175800	1971-01-01											650	A
USGS	08175800	1971-01-02											645	A
USGS	08175800	1971-01-03											652	A
USGS	08175800	1971-01-04											638	A
USGS	08175800	1971-01-05											641	A
USGS	08175800	1971-01-06											626	A
USGS	08175800	1971-01-07											609	A
USGS	08175800	1971-01-08											608	A
USGS	08175800	1971-01-09											612	A
USGS	08175800	1971-01-10											620	A
USGS	08175800	1971-01-11											621	A
USGS	08175800	1971-01-12											639	A
USGS	08175800	1971-01-13											642	A
USGS	08175800	1971-01-14											642	A
USGS	08175800	1971-01-15											640	A
USGS	08175800	1971-01-16											641	A
USGS	08175800	1971-01-17											630	A
USGS	08175800	1971-01-18											627	A
USGS	08175800	1971-01-19											616	A
USGS	08175800	1971-01-20											615	A
USGS	08175800	1971-01-21											618	A
USGS	08175800	1971-01-22											623	A
USGS	08175800	1971-01-23											622	A
USGS	08175800	1971-01-24											619	A
USGS	08175800	1971-01-25											624	A
USGS	08175800	1971-01-26											628	A
USGS	08175800	1971-01-27											609	A
USGS	08175800	1971-01-28											592	A
USGS	08175800	1971-01-29											586	A
USGS	08175800	1971-01-30											590	A
USGS	08175800	1971-01-31											590	A
USGS	08175800	1971-02-01											581	A
USGS	08175800	1971-02-02											571	A
USGS	08175800	1971-02-03											576	A
USGS	08175800	1971-02-04											577	A
USGS	08175800	1971-02-05											568	A
USGS	08175800	1971-02-06											576	A
USGS	08175800	1971-02-07											594	A
USGS	08175800	1971-02-08											591	A
USGS	08175800	1971-02-09											578	A
USGS	08175800	1971-02-10											556	A
USGS	08175800	1971-02-11											556	A
USGS	08175800	1971-02-12											552	A
USGS	08175800	1971-02-13											552	A
USGS	08175800	1971-02-14											555	A
USGS	08175800	1971-02-15											554	A
USGS	08175800	1971-02-16											563	A
USGS	08175800	1971-02-17											577	A
USGS	08175800	1971-02-18											578	A
USGS	08175800	1971-02-19											576	A
USGS	08175800	1971-02-20											571	A
USGS	08175800	1971-02-21											568	A
USGS	08175800	1971-02-22											560	A
USGS	08175800	1971-02-23											563	A
USGS	08175800	1971-02-24											547	A
USGS	08175800	1971-02-25											532	A
USGS	08175800	1971-02-26											552	A
USGS	08175800	1971-02-27											576	A
USGS	08175800	1971-02-28											600	A
USGS	08175800	1971-03-01											612	A
USGS	08175800	1971-03-02											608	A
USGS	08175800	1971-03-03											589	A
USGS	08175800	1971-03-04											574	A
USGS	08175800	1971-03-05											560	A
USGS	08175800	1971-03-06											543	A
USGS	08175800	1971-03-07											536	A
USGS	08175800	1971-03-08											536	A
USGS	08175800	1971-03-09											533	A
USGS	08175800	1971-03-10											531	A
USGS	08175800	1971-03-11											535	A
USGS	08175800	1971-03-12											518	A
USGS	08175800	1971-03-13											531	A
USGS	08175800	1971-03-14											620	A
USGS	08175800	1971-03-15											935	A
USGS	08175800	1971-03-16											720	A
USGS	08175800	1971-03-17											588	A
USGS	08175800	1971-03-18											591	A
USGS	08175800	1971-03-19											567	A
USGS	08175800	1971-03-20											473	A
USGS	08175800	1971-03-21											453	A
USGS	08175800	1971-03-22											460	A
USGS	08175800	1971-03-23											458	A
USGS	08175800	1971-03-24											465	A
USGS	08175800	1971-03-25											475	A
USGS	08175800	1971-03-26											459	A
USGS	08175800	1971-03-27											435	A
USGS	08175800	1971-03-28											433	A
USGS	08175800	1971-03-29											428	A
USGS	08175800	1971-03-30											422	A
USGS	08175800	1971-03-31											415	A
USGS	08175800	1971-04-01											410	A
USGS	08175800	1971-04-02											394	A
USGS	08175800	1971-04-03											384	A
USGS	08175800	1971-04-04											376	A
USGS	08175800	1971-04-05											371	A
USGS	08175800	1971-04-06											375	A
USGS	08175800	1971-04-07											381	A
USGS	08175800	1971-04-08											376	A
USGS	08175800	1971-04-09											376	A
USGS	08175800	1971-04-10											369	A
USGS	08175800	1971-04-11											362	A
USGS	08175800	1971-04-12											360	A
USGS	08175800	1971-04-13											358	A
USGS	08175800	1971-04-14											358	A
USGS	08175800	1971-04-15											357	A
USGS	08175800	1971-04-16											357	A
USGS	08175800	1971-04-17											360	A
USGS	08175800	1971-04-18											377	A
USGS	08175800	1971-04-19											405	A
USGS	08175800	1971-04-20											424	A
USGS	08175800	1971-04-21											439	A
USGS	08175800	1971-04-22											432	A
USGS	08175800	1971-04-23											413	A
USGS	08175800	1971-04-24											398	A
USGS	08175800	1971-04-25											384	A
USGS	08175800	1971-04-26											380	A
USGS	08175800	1971-04-27											373	A
USGS	08175800	1971-04-28											362	A
USGS	08175800	1971-04-29											359	A
USGS	08175800	1971-04-30											353	A
USGS	08175800	1971-05-01											353	A
USGS	08175800	1971-05-02											352	A
USGS	08175800	1971-05-03											339	A
USGS	08175800	1971-05-04											320	A
USGS	08175800	1971-05-05											320	A
USGS	08175800	1971-05-06											319	A
USGS	08175800	1971-05-07											308	A
USGS	08175800	1971-05-08											316	A
USGS	08175800	1971-05-09											339	A
USGS	08175800	1971-05-10											347	A
USGS	08175800	1971-05-11											340	A
USGS	08175800	1971-05-12											347	A
USGS	08175800	1971-05-13											368	A
USGS	08175800	1971-05-14											374	A
USGS	08175800	1971-05-15											382	A
USGS	08175800	1971-05-16											367	A
USGS	08175800	1971-05-17											345	A
USGS	08175800	1971-05-18											343	A
USGS	08175800	1971-05-19											342	A
USGS	08175800	1971-05-20											312	A
USGS	08175800	1971-05-21											307	A
USGS	08175800	1971-05-22											308	A
USGS	08175800	1971-05-23											306	A
USGS	08175800	1971-05-24											303	A
USGS	08175800	1971-05-25											305	A
USGS	08175800	1971-05-26											318	A
USGS	08175800	1971-05-27											332	A
USGS	08175800	1971-05-28											326	A
USGS	08175800	1971-05-29											312	A
USGS	08175800	1971-05-30											304	A
USGS	08175800	1971-05-31											293	A
USGS	08175800	1971-06-01											286	A
USGS	08175800	1971-06-02											279	A
USGS	08175800	1971-06-03											276	A
USGS	08175800	1971-06-04											273	A
USGS	08175800	1971-06-05											264	A
USGS	08175800	1971-06-06											256	A
USGS	08175800	1971-06-07											252	A
USGS	08175800	1971-06-08											244	A
USGS	08175800	1971-06-09											241	A
USGS	08175800	1971-06-10											241	A
USGS	08175800	1971-06-11											229	A
USGS	08175800	1971-06-12											221	A
USGS	08175800	1971-06-13											229	A
USGS	08175800	1971-06-14											190	A
USGS	08175800	1971-06-15											151	A
USGS	08175800	1971-06-16											151	A
USGS	08175800	1971-06-17											175	A
USGS	08175800	1971-06-18											212	A
USGS	08175800	1971-06-19											431	A
USGS	08175800	1971-06-20											399	A
USGS	08175800	1971-06-21											273	A
USGS	08175800	1971-06-22											254	A
USGS	08175800	1971-06-23											246	A
USGS	08175800	1971-06-24											231	A
USGS	08175800	1971-06-25											227	A
USGS	08175800	1971-06-26											228	A
USGS	08175800	1971-06-27											225	A
USGS	08175800	1971-06-28											933	A
USGS	08175800	1971-06-29											2200	A
USGS	08175800	1971-06-30											2400	A
USGS	08175800	1971-07-01											1030	A
USGS	08175800	1971-07-02											501	A
USGS	08175800	1971-07-03											372	A
USGS	08175800	1971-07-04											330	A
USGS	08175800	1971-07-05											307	A
USGS	08175800	1971-07-06											290	A
USGS	08175800	1971-07-07											279	A
USGS	08175800	1971-07-08											276	A
USGS	08175800	1971-07-09											269	A
USGS	08175800	1971-07-10											255	A
USGS	08175800	1971-07-11											253	A
USGS	08175800	1971-07-12											246	A
USGS	08175800	1971-07-13											239	A
USGS	08175800	1971-07-14											233	A
USGS	08175800	1971-07-15											226	A
USGS	08175800	1971-07-16											220	A
USGS	08175800	1971-07-17											213	A
USGS	08175800	1971-07-18											197	A
USGS	08175800	1971-07-19											192	A
USGS	08175800	1971-07-20											198	A
USGS	08175800	1971-07-21											197	A
USGS	08175800	1971-07-22											191	A
USGS	08175800	1971-07-23											182	A
USGS	08175800	1971-07-24											179	A
USGS	08175800	1971-07-25											171	A
USGS	08175800	1971-07-26											159	A
USGS	08175800	1971-07-27											154	A
USGS	08175800	1971-07-28											162	A
USGS	08175800	1971-07-29											167	A
USGS	08175800	1971-07-30											171	A
USGS	08175800	1971-07-31											229	A
USGS	08175800	1971-08-01											221	A
USGS	08175800	1971-08-02											210	A
USGS	08175800	1971-08-03											199	A
USGS	08175800	1971-08-04											292	A
USGS	08175800	1971-08-05											2100	A
USGS	08175800	1971-08-06											3780	A
USGS	08175800	1971-08-07											3220	A
USGS	08175800	1971-08-08											1930	A
USGS	08175800	1971-08-09											1020	A
USGS	08175800	1971-08-10											761	A
USGS	08175800	1971-08-11											604	A
USGS	08175800	1971-08-12											534	A
USGS	08175800	1971-08-13											519	A
USGS	08175800	1971-08-14											533	A
USGS	08175800	1971-08-15											570	A
USGS	08175800	1971-08-16											636	A
USGS	08175800	1971-08-17											626	A
USGS	08175800	1971-08-18											836	A
USGS	08175800	1971-08-19											1330	A
USGS	08175800	1971-08-20											1450	A
USGS	08175800	1971-08-21											1730	A
USGS	08175800	1971-08-22											2640	A
USGS	08175800	1971-08-23											3200	A
USGS	08175800	1971-08-24											3360	A
USGS	08175800	1971-08-25											3420	A
USGS	08175800	1971-08-26											3560	A
USGS	08175800	1971-08-27											3570	A
USGS	08175800	1971-08-28											2790	A
USGS	08175800	1971-08-29											2010	A
USGS	08175800	1971-08-30											1500	A
USGS	08175800	1971-08-31											1280	A
USGS	08175800	1971-09-01											1250	A
USGS	08175800	1971-09-02											1250	A
USGS	08175800	1971-09-03											1290	A
USGS	08175800	1971-09-04											1200	A
USGS	08175800	1971-09-05											1220	A
USGS	08175800	1971-09-06											1140	A
USGS	08175800	1971-09-07											1140	A
USGS	08175800	1971-09-08											1130	A
USGS	08175800	1971-09-09											1120	A
USGS	08175800	1971-09-10											1380	A
USGS	08175800	1971-09-11											5570	A
USGS	08175800	1971-09-12											5960	A
USGS	08175800	1971-09-13											7390	A
USGS	08175800	1971-09-14											4810	A
USGS	08175800	1971-09-15											2100	A
USGS	08175800	1971-09-16											1450	A
USGS	08175800	1971-09-17											1400	A
USGS	08175800	1971-09-18											3130	A
USGS	08175800	1971-09-19											6880	A
USGS	08175800	1971-09-20											5160	A
USGS	08175800	1971-09-21											3100	A
USGS	08175800	1971-09-22											1580	A
USGS	08175800	1971-09-23											1440	A
USGS	08175800	1971-09-24											1490	A
USGS	08175800	1971-09-25											1500	A
USGS	08175800	1971-09-26											1790	A
USGS	08175800	1971-09-27											2340	A
USGS	08175800	1971-09-28											1950	A
USGS	08175800	1971-09-29											1600	A
USGS	08175800	1971-09-30											1450	A
USGS	08175800	1971-10-01											1380	A
USGS	08175800	1971-10-02											1350	A
USGS	08175800	1971-10-03											1330	A
USGS	08175800	1971-10-04											1310	A
USGS	08175800	1971-10-05											1330	A
USGS	08175800	1971-10-06											1750	A
USGS	08175800	1971-10-07											1680	A
USGS	08175800	1971-10-08											1530	A
USGS	08175800	1971-10-09											1390	A
USGS	08175800	1971-10-10											1140	A
USGS	08175800	1971-10-11											1020	A
USGS	08175800	1971-10-12											979	A
USGS	08175800	1971-10-13											988	A
USGS	08175800	1971-10-14											1060	A
USGS	08175800	1971-10-15											871	A
USGS	08175800	1971-10-16											833	A
USGS	08175800	1971-10-17											957	A
USGS	08175800	1971-10-18											886	A
USGS	08175800	1971-10-19											857	A
USGS	08175800	1971-10-20											786	A
USGS	08175800	1971-10-21											808	A
USGS	08175800	1971-10-22											1140	A
USGS	08175800	1971-10-23											1340	A
USGS	08175800	1971-10-24											1490	A
USGS	08175800	1971-10-25											1480	A
USGS	08175800	1971-10-26											1460	A
USGS	08175800	1971-10-27											1430	A
USGS	08175800	1971-10-28											1440	A
USGS	08175800	1971-10-29											1440	A
USGS	08175800	1971-10-30											1430	A
USGS	08175800	1971-10-31											1450	A
USGS	08175800	1971-11-01											1450	A
USGS	08175800	1971-11-02											1450	A
USGS	08175800	1971-11-03											1440	A
USGS	08175800	1971-11-04											1430	A
USGS	08175800	1971-11-05											1440	A
USGS	08175800	1971-11-06											1430	A
USGS	08175800	1971-11-07											1430	A
USGS	08175800	1971-11-08											1430	A
USGS	08175800	1971-11-09											1440	A
USGS	08175800	1971-11-10											1460	A
USGS	08175800	1971-11-11											1440	A
USGS	08175800	1971-11-12											1440	A
USGS	08175800	1971-11-13											1380	A
USGS	08175800	1971-11-14											1200	A
USGS	08175800	1971-11-15											1170	A
USGS	08175800	1971-11-16											1170	A
USGS	08175800	1971-11-17											1170	A
USGS	08175800	1971-11-18											1230	A
USGS	08175800	1971-11-19											1310	A
USGS	08175800	1971-11-20											1480	A
USGS	08175800	1971-11-21											1800	A
USGS	08175800	1971-11-22											1630	A
USGS	08175800	1971-11-23											1440	A
USGS	08175800	1971-11-24											1370	A
USGS	08175800	1971-11-25											1300	A
USGS	08175800	1971-11-26											1380	A
USGS	08175800	1971-11-27											1390	A
USGS	08175800	1971-11-28											1350	A
USGS	08175800	1971-11-29											1380	A
USGS	08175800	1971-11-30											1310	A
USGS	08175800	1971-12-01											1310	A
USGS	08175800	1971-12-02											1880	A
USGS	08175800	1971-12-03											1730	A
USGS	08175800	1971-12-04											2100	A
USGS	08175800	1971-12-05											2330	A
USGS	08175800	1971-12-06											2160	A
USGS	08175800	1971-12-07											3760	A
USGS	08175800	1971-12-08											4770	A
USGS	08175800	1971-12-09											3430	A
USGS	08175800	1971-12-10											2330	A
USGS	08175800	1971-12-11											2120	A
USGS	08175800	1971-12-12											1970	A
USGS	08175800	1971-12-13											1950	A
USGS	08175800	1971-12-14											1900	A
USGS	08175800	1971-12-15											1850	A
USGS	08175800	1971-12-16											1810	A
USGS	08175800	1971-12-17											1570	A
USGS	08175800	1971-12-18											1660	A
USGS	08175800	1971-12-19											1650	A
USGS	08175800	1971-12-20											1630	A
USGS	08175800	1971-12-21											1660	A
USGS	08175800	1971-12-22											1660	A
USGS	08175800	1971-12-23											1580	A
USGS	08175800	1971-12-24											1540	A
USGS	08175800	1971-12-25											1380	A
USGS	08175800	1971-12-26											1410	A
USGS	08175800	1971-12-27											1410	A
USGS	08175800	1971-12-28											1390	A
USGS	08175800	1971-12-29											1380	A
USGS	08175800	1971-12-30											1370	A
USGS	08175800	1971-12-31											1330	A
USGS	08175800	1972-01-01											1400	A
USGS	08175800	1972-01-02											1530	A
USGS	08175800	1972-01-03											1850	A
USGS	08175800	1972-01-04											1820	A
USGS	08175800	1972-01-05											1460	A
USGS	08175800	1972-01-06											1380	A
USGS	08175800	1972-01-07											1360	A
USGS	08175800	1972-01-08											1340	A
USGS	08175800	1972-01-09											1330	A
USGS	08175800	1972-01-10											1350	A
USGS	08175800	1972-01-11											1340	A
USGS	08175800	1972-01-12											1340	A
USGS	08175800	1972-01-13											1320	A
USGS	08175800	1972-01-14											1320	A
USGS	08175800	1972-01-15											1280	A
USGS	08175800	1972-01-16											1120	A
USGS	08175800	1972-01-17											1050	A
USGS	08175800	1972-01-18											1040	A
USGS	08175800	1972-01-19											1040	A
USGS	08175800	1972-01-20											1040	A
USGS	08175800	1972-01-21											1040	A
USGS	08175800	1972-01-22											1040	A
USGS	08175800	1972-01-23											1030	A
USGS	08175800	1972-01-24											1020	A
USGS	08175800	1972-01-25											1000	A
USGS	08175800	1972-01-26											985	A
USGS	08175800	1972-01-27											980	A
USGS	08175800	1972-01-28											959	A
USGS	08175800	1972-01-29											961	A
USGS	08175800	1972-01-30											2620	A
USGS	08175800	1972-01-31											3010	A
USGS	08175800	1972-02-01											2350	A
USGS	08175800	1972-02-02											1830	A
USGS	08175800	1972-02-03											1620	A
USGS	08175800	1972-02-04											1540	A
USGS	08175800	1972-02-05											1470	A
USGS	08175800	1972-02-06											1420	A
USGS	08175800	1972-02-07											1440	A
USGS	08175800	1972-02-08											1470	A
USGS	08175800	1972-02-09											1410	A
USGS	08175800	1972-02-10											1420	A
USGS	08175800	1972-02-11											1480	A
USGS	08175800	1972-02-12											1790	A
USGS	08175800	1972-02-13											1830	A
USGS	08175800	1972-02-14											1600	A
USGS	08175800	1972-02-15											1490	A
USGS	08175800	1972-02-16											1470	A
USGS	08175800	1972-02-17											1430	A
USGS	08175800	1972-02-18											1420	A
USGS	08175800	1972-02-19											1420	A
USGS	08175800	1972-02-20											1390	A
USGS	08175800	1972-02-21											1410	A
USGS	08175800	1972-02-22											1380	A
USGS	08175800	1972-02-23											1390	A
USGS	08175800	1972-02-24											1390	A
USGS	08175800	1972-02-25											1390	A
USGS	08175800	1972-02-26											1400	A
USGS	08175800	1972-02-27											1390	A
USGS	08175800	1972-02-28											1380	A
USGS	08175800	1972-02-29											1370	A
USGS	08175800	1972-03-01											1370	A
USGS	08175800	1972-03-02											1350	A
USGS	08175800	1972-03-03											1300	A
USGS	08175800	1972-03-04											1150	A
USGS	08175800	1972-03-05											1000	A
USGS	08175800	1972-03-06											953	A
USGS	08175800	1972-03-07											950	A
USGS	08175800	1972-03-08											950	A
USGS	08175800	1972-03-09											947	A
USGS	08175800	1972-03-10											928	A
USGS	08175800	1972-03-11											901	A
USGS	08175800	1972-03-12											857	A
USGS	08175800	1972-03-13											927	A
USGS	08175800	1972-03-14											973	A
USGS	08175800	1972-03-15											926	A
USGS	08175800	1972-03-16											881	A
USGS	08175800	1972-03-17											903	A
USGS	08175800	1972-03-18											872	A
USGS	08175800	1972-03-19											862	A
USGS	08175800	1972-03-20											946	A
USGS	08175800	1972-03-21											1510	A
USGS	08175800	1972-03-22											1140	A
USGS	08175800	1972-03-23											1040	A
USGS	08175800	1972-03-24											1010	A
USGS	08175800	1972-03-25											835	A
USGS	08175800	1972-03-26											815	A
USGS	08175800	1972-03-27											867	A
USGS	08175800	1972-03-28											861	A
USGS	08175800	1972-03-29											831	A
USGS	08175800	1972-03-30											830	A
USGS	08175800	1972-03-31											816	A
USGS	08175800	1972-04-01											812	A
USGS	08175800	1972-04-02											792	A
USGS	08175800	1972-04-03											790	A
USGS	08175800	1972-04-04											808	A
USGS	08175800	1972-04-05											818	A
