# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-06-28 15:16:37 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08188810 Guadalupe Rv at SH 35 nr Tivoli, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08188810
#            TS   parameter     statistic     Description
#        137060       00065     00001     Gage height, feet (Maximum)
#        137061       00065     00002     Gage height, feet (Minimum)
#        137062       00065     00003     Gage height, feet (Mean)
#        137064       72255     00002     Mean water velocity for discharge computation, feet per second (Minimum)
#        137066       00060     00001     Discharge, cubic feet per second (Maximum)
#        137067       00060     00002     Discharge, cubic feet per second (Minimum)
#        277573       72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#        325731       00060     00003     Discharge, cubic feet per second (Mean)
#        325732       72255     00003     Mean water velocity for discharge computation, feet per second (Mean)
#        325733       72255     00001     Mean water velocity for discharge computation, feet per second (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	137060_00065_00001	137060_00065_00001_cd	137061_00065_00002	137061_00065_00002_cd	137062_00065_00003	137062_00065_00003_cd	137064_72255_00002	137064_72255_00002_cd	137066_00060_00001	137066_00060_00001_cd	137067_00060_00002	137067_00060_00002_cd	277573_72137_00003	277573_72137_00003_cd	325731_00060_00003	325731_00060_00003_cd	325732_72255_00003	325732_72255_00003_cd	325733_72255_00001	325733_72255_00001_cd
USGS	08188810	2013-03-23	11.17	A	10.20	A	10.73	A	0.15	A	619	A	213	A	465	A	459	A	0.32	A	0.45	A
USGS	08188810	2013-03-24	10.65	A	9.25	A	9.90	A	0.23	A	665	A	312	A	493	A	505	A	0.38	A	0.52	A
USGS	08188810	2013-03-25	10.21	A	9.69	A	9.97	A	0.23	A	644	A	313	A	471	A	481	A	0.36	A	0.49	A
USGS	08188810	2013-03-26	10.47	A	9.82	A	10.09	A	0.15	A	584	A	199	A	440	A	430	A	0.32	A	0.43	A
USGS	08188810	2013-03-27	10.25	A	9.90	A	10.10	A	0.17	A	511	A	225	A	413	A	405	A	0.30	A	0.38	A
USGS	08188810	2013-03-28	10.21	A	9.76	A	9.99	A	0.22	A	523	A	291	A	421	A	426	A	0.32	A	0.40	A
USGS	08188810	2013-03-29	10.32	A	9.72	A	10.09	A	0.19	A	566	A	259	A	420	A	418	A	0.31	A	0.43	A
USGS	08188810	2013-03-30	10.68	A	9.91	A	10.32	A	0.16	A	505	A	224	A	412	A	404	A	0.30	A	0.37	A
USGS	08188810	2013-03-31	10.93	A	10.12	A	10.43	A	0.05	A	583	A	71.1	A	415	A	412	A	0.30	A	0.42	A
USGS	08188810	2013-04-01	10.91	A	10.06	A	10.45	A	0.12	A	573	A	169	A	392	A	405	A	0.29	A	0.43	A
USGS	08188810	2013-04-02	10.75	A	10.27	A	10.53	A	0.08	A	533	A	111	A	379	A	383	A	0.28	A	0.38	A
USGS	08188810	2013-04-03	10.80	A	9.90	A	10.28	A	0.10	A	567	A	137	A	399	A	398	A	0.29	A	0.42	A
USGS	08188810	2013-04-04	10.48	A	9.73	A	10.10	A	0.16	A	532	A	222	A	405	A	408	A	0.30	A	0.40	A
USGS	08188810	2013-04-05	10.36	A	9.98	A	10.17	A	0.19	A	505	A	258	A	401	A	402	A	0.30	A	0.37	A
USGS	08188810	2013-04-06	10.70	A	10.03	A	10.40	A	0.21	A	573	A	284	A	510	A	437	A	0.32	A	0.41	A
USGS	08188810	2013-04-07	11.36	A	10.53	A	10.93	A	0.37	A	1260	A	519	A	913	A	907	A	0.63	A	0.85	A
USGS	08188810	2013-04-08	11.63	A	11.04	A	11.33	A	0.73	A	1390	A	1100	A	1180	A	1240	A	0.84	A	0.94	A
USGS	08188810	2013-04-09	11.78	A	11.27	A	11.54	A	0.57	A	1270	A	874	A	1040	A	1050	A	0.70	A	0.85	A
USGS	08188810	2013-04-10	11.74	A	10.54	A	11.20	A	0.30	A	1160	A	445	A	863	A	847	A	0.58	A	0.81	A
USGS	08188810	2013-04-11	11.04	A	10.20	A	10.69	A	0.35	A	963	A	485	A	762	A	743	A	0.53	A	0.71	A
USGS	08188810	2013-04-12	11.01	A	10.34	A	10.70	A	0.33	A	875	A	455	A	709	A	726	A	0.51	A	0.63	A
USGS	08188810	2013-04-13	10.91	A	10.31	A	10.64	A	0.30	A	803	A	427	A	670	A	667	A	0.48	A	0.57	A
USGS	08188810	2013-04-14	11.38	A	10.43	A	10.85	A	0.29	A	779	A	398	A	618	A	627	A	0.44	A	0.56	A
USGS	08188810	2013-04-15	11.36	A	10.85	A	11.11	A	0.20	A	716	A	288	A	584	A	592	A	0.41	A	0.49	A
USGS	08188810	2013-04-16	11.29	A	10.56	A	10.94	A	0.28	A	688	A	390	A	545	A	553	A	0.38	A	0.48	A
USGS	08188810	2013-04-17	11.54	A	10.71	A	11.04	A	0.10	A	701	A	144	A	499	A	488	A	0.34	A	0.49	A
USGS	08188810	2013-04-18	11.56	A	9.91	A	10.82	A	0.03	A	852	A	41.1	A	481	A	487	A	0.34	A	0.59	A
USGS	08188810	2013-04-19	10.75	A	10.15	A	10.44	A	0.18	A	595	A	247	A	461	A	458	A	0.33	A	0.43	A
USGS	08188810	2013-04-20	10.57	A	10.17	A	10.42	A	0.23	A	595	A	323	A	448	A	447	A	0.32	A	0.43	A
USGS	08188810	2013-04-21	10.93	A	10.34	A	10.61	A	0.18	A	544	A	261	A	456	A	452	A	0.32	A	0.38	A
USGS	08188810	2013-04-22	11.10	A	10.69	A	10.89	A	0.18	A	597	A	253	A	430	A	436	A	0.30	A	0.42	A
USGS	08188810	2013-04-23	11.27	A	10.67	A	11.03	A	0.10	A	529	A	149	A	387	A	385	A	0.27	A	0.37	A
USGS	08188810	2013-04-24	10.75	A	9.53	A	10.26	A	0.04	A	594	A	56.3	A	362	A	369	A	0.27	A	0.45	A
USGS	08188810	2013-04-25	10.75	A	10.12	A	10.44	A	0.05	A	488	A	70.2	A	337	A	336	A	0.24	A	0.36	A
USGS	08188810	2013-04-26	11.19	A	10.57	A	10.85	A	0.10	A	502	A	144	A	344	A	350	A	0.24	A	0.35	A
USGS	08188810	2013-04-27	11.13	A	10.57	A	10.83	A	0.06	A	496	A	92.1	A	392	A	351	A	0.25	A	0.35	A
USGS	08188810	2013-04-28	11.37	A	10.56	A	10.98	A	-0.01	A	897	A	-13.2	A	567	A	562	A	0.39	A	0.62	A
USGS	08188810	2013-04-29	11.28	A	10.71	A	11.00	A	0.46	A	947	A	673	A	862	A	785	A	0.54	A	0.64	A
USGS	08188810	2013-04-30	11.99	A	11.20	A	11.59	A	0.64	A	1520	A	947	A	1290	A	1350	A	0.89	A	1.00	A
USGS	08188810	2013-05-01	11.96	A	11.48	A	11.65	A	0.85	A	1580	A	1290	A	1460	A	1430	A	0.94	A	1.03	A
USGS	08188810	2013-05-02	11.67	A	10.79	A	11.31	A	0.92	A	1770	A	1400	A	1570	A	1610	A	1.09	A	1.22	A
USGS	08188810	2013-05-03	10.80	A	10.44	A	10.59	A	0.94	A	1710	A	1320	A	1530	A	1550	A	1.11	A	1.20	A
USGS	08188810	2013-05-04	10.84	A	10.51	A	10.64	A	0.82	A	1490	A	1160	A	1360	A	1340	A	0.96	A	1.06	A
USGS	08188810	2013-05-05	10.74	A	10.42	A	10.54	A	0.82	A	1360	A	1140	A	1220	A	1250	A	0.90	A	0.97	A
USGS	08188810	2013-05-06	10.77	A	9.88	A	10.44	A	0.28	A	1290	A	369	A	1030	A	1000	A	0.72	A	0.91	A
USGS	08188810	2013-05-07	10.72	A	10.13	A	10.40	A	0.44	A	1270	A	603	A	942	A	959	A	0.70	A	0.90	A
USGS	08188810	2013-05-08	10.76	A	10.37	A	10.54	A	0.34	A	1000	A	472	A	833	A	827	A	0.59	A	0.73	A
USGS	08188810	2013-05-09	10.93	A	10.16	A	10.59	A	0.43	A	969	A	587	A	752	A	777	A	0.56	A	0.69	A
USGS	08188810	2013-05-10	11.00	A	10.17	A	10.65	A	0.38	A	920	A	525	A	740	A	737	A	0.52	A	0.66	A
USGS	08188810	2013-05-11	10.87	A	10.28	A	10.50	A	0.26	A	885	A	367	A	741	A	725	A	0.52	A	0.64	A
USGS	08188810	2013-05-12	10.77	A	10.30	A	10.56	A	0.29	A	922	A	405	A	728	A	739	A	0.53	A	0.66	A
USGS	08188810	2013-05-13	10.78	A	10.25	A	10.55	A	0.33	A	838	A	465	A	653	A	681	A	0.49	A	0.61	A
USGS	08188810	2013-05-14	11.07	A	10.37	A	10.66	A	0.25	A	695	A	361	A	567	A	537	A	0.38	A	0.50	A
USGS	08188810	2013-05-15	11.47	A	10.68	A	11.05	A	0.25	A	798	A	361	A	611	A	613	A	0.42	A	0.54	A
USGS	08188810	2013-05-16	11.44	A	10.50	A	11.19	A	0.25	A	915	A	351	A	665	A	666	A	0.45	A	0.63	A
USGS	08188810	2013-05-17	11.35	A	10.68	A	11.03	A	0.29	A	837	A	415	A	666	A	680	A	0.47	A	0.58	A
USGS	08188810	2013-05-18	11.09	A	10.50	A	10.90	A	0.29	A	770	A	399	A	605	A	630	A	0.44	A	0.54	A
USGS	08188810	2013-05-19	11.41	A	10.78	A	11.12	A	0.14	A	720	A	199	A	542	A	537	A	0.37	A	0.49	A
USGS	08188810	2013-05-20	11.25	A	10.90	A	11.09	A	0.13	A	678	A	189	A	511	A	519	A	0.36	A	0.47	A
USGS	08188810	2013-05-21	11.27	A	10.56	A	11.03	A	0.15	A	660	A	219	A	475	A	480	A	0.33	A	0.46	A
USGS	08188810	2013-05-22					10.87	A							437	A						
USGS	08188810	2013-05-23	11.10	A	10.49	A	10.86	A	0.12	A	587	A	168	A	398	A	392	A	0.27	A	0.41	A
USGS	08188810	2013-05-24	11.08	A	10.57	A	10.88	A	0.10	A	530	A	143	A	365	A	361	A	0.25	A	0.37	A
USGS	08188810	2013-05-25	11.30	A	10.63	A	10.98	A	0.09	A	524	A	137	A	421	A	350	A	0.24	A	0.37	A
USGS	08188810	2013-05-26	12.05	A	10.66	A	11.30	A	0.18	A	1610	A	250	A	982	A	919	A	0.61	A	1.02	A
USGS	08188810	2013-05-27	12.42	A	11.92	A	12.14	A	1.00	A	1770	A	1560	A	1610	A	1670	A	1.06	A	1.12	A
USGS	08188810	2013-05-28	12.93	A	12.37	A	12.55	A	1.01	A	1950	A	1640	A	1830	A	1750	A	1.08	A	1.17	A
USGS	08188810	2013-05-29	13.55	A	12.92	A	13.21	A	1.11	A	2450	A	1860	A	2200	A	2180	A	1.28	A	1.41	A
USGS	08188810	2013-05-30	14.31	A	13.55	A	13.93	A	1.32	A	3100	A	2330	A	2720	A	2710	A	1.51	A	1.69	A
USGS	08188810	2013-05-31	14.52	A	14.31	A	14.41	A	1.59	A	3240	A	2920	A	3080	A	3100	A	1.68	A	1.74	A
USGS	08188810	2013-06-01	14.59	A	14.50	A	14.55	A	1.63	A	3310	A	3040	A	3180	A	3180	A	1.70	A	1.78	A
USGS	08188810	2013-06-02	14.57	A	14.40	A	14.49	A	1.64	A	3320	A	3050	A	3170	A	3180	A	1.71	A	1.79	A
USGS	08188810	2013-06-03	14.43	A	14.13	A	14.30	A	1.59	A	3270	A	2920	A	3070	A	3090	A	1.69	A	1.77	A
USGS	08188810	2013-06-04	14.14	A	13.62	A	13.87	A	1.45	A	3090	A	2560	A	2830	A	2850	A	1.60	A	1.73	A
USGS	08188810	2013-06-05	13.62	A	13.04	A	13.28	A	1.34	A	2760	A	2250	A	2500	A	2520	A	1.47	A	1.58	A
USGS	08188810	2013-06-06	13.06	A	12.40	A	12.66	A	1.12	A	2410	A	1830	A	2120	A	2130	A	1.30	A	1.45	A
USGS	08188810	2013-06-07	12.46	A	11.72	A	12.00	A	0.97	A	2000	A	1490	A	1770	A	1760	A	1.12	A	1.25	A
USGS	08188810	2013-06-08	12.01	A	11.49	A	11.74	A	0.94	A	1730	A	1450	A	1560	A	1550	A	1.01	A	1.13	A
USGS	08188810	2013-06-09	12.03	A	11.57	A	11.75	A	0.89	A	1610	A	1360	A	1460	A	1470	A	0.96	A	1.04	A
USGS	08188810	2013-06-10	11.68	A	11.24	A	11.45	A	0.76	A	1470	A	1140	A	1300	A	1310	A	0.87	A	0.99	A
USGS	08188810	2013-06-11	11.47	A	11.08	A	11.25	A	0.69	A	1300	A	1020	A	1130	A	1140	A	0.77	A	0.88	A
USGS	08188810	2013-06-12	11.22	A	10.83	A	11.07	A	0.59	A	1120	A	861	A	1020	A	1010	A	0.70	A	0.77	A
USGS	08188810	2013-06-13	11.18	A	10.79	A	10.97	A	0.60	A	1120	A	872	A	968	A	994	A	0.69	A	0.78	A
USGS	08188810	2013-06-14	10.93	A	10.10	A	10.71	A	0.04	A	1030	A	47.2	A	837	A	795	A	0.56	A	0.73	A
USGS	08188810	2013-06-15	10.86	A	10.23	A	10.64	A	0.20	A	1040	A	271	A	799	A	820	A	0.58	A	0.73	A
USGS	08188810	2013-06-16	10.90	A	10.14	A	10.67	A	0.12	A	1070	A	162	A	789	A	786	A	0.56	A	0.75	A
USGS	08188810	2013-06-17	11.00	A	10.28	A	10.77	A	0.15	A	1010	A	205	A	873	A	885	A	0.62	A	0.71	A
USGS	08188810	2013-06-18	11.01	A	10.41	A	10.83	A	0.42	A	1170	A	578	A	960	A	1000	A	0.70	A	0.81	A
USGS	08188810	2013-06-19	10.95	A	10.37	A	10.73	A	0.37	A	1170	A	516	A	948	A	934	A	0.66	A	0.81	A
USGS	08188810	2013-06-20	10.96	A	10.30	A	10.69	A	0.39	A	1120	A	533	A	927	A	921	A	0.65	A	0.78	A
USGS	08188810	2013-06-21	10.89	A	10.23	A	10.67	A	0.29	A	1090	A	396	A	896	A	908	A	0.64	A	0.77	A
USGS	08188810	2013-06-22	10.94	A	10.09	A	10.61	A	0.22	A	1080	A	301	A	789	A	805	A	0.57	A	0.76	A
USGS	08188810	2013-06-23	10.93	A	10.21	A	10.61	A	0.08	A	941	A	111	A	662	A	663	A	0.47	A	0.66	A
USGS	08188810	2013-06-24	11.00	A	10.27	A	10.76	A	0.06	A	912	A	79.1	A	583	A	569	A	0.40	A	0.65	A
USGS	08188810	2013-06-25	11.06	A	10.47	A	10.79	A	0.25	A	689	A	359	A	527	A	519	A	0.37	A	0.49	A
USGS	08188810	2013-06-26	11.07	A	10.41	A	10.79	A	0.22	A	678	A	317	A	487	A	488	A	0.34	A	0.48	A
USGS	08188810	2013-06-27	10.93	A	10.26	A	10.60	A	0.25	A	605	A	347	A	476	A	472	A	0.34	A	0.43	A
USGS	08188810	2013-06-28	10.69	A	10.09	A	10.40	A	0.19	A	603	A	260	A	475	A	484	A	0.35	A	0.45	A
USGS	08188810	2013-06-29	10.37	A	9.78	A	10.14	A	0.20	A	632	A	262	A	460	A	462	A	0.34	A	0.48	A
USGS	08188810	2013-06-30	10.04	A	9.24	A	9.65	A	0.19	A	616	A	243	A	419	A	444	A	0.34	A	0.47	A
USGS	08188810	2013-07-01	10.30	A	9.36	A	9.71	A	0.11	A	492	A	140	A	330	A	325	A	0.25	A	0.38	A
USGS	08188810	2013-07-02	10.73	A	9.78	A	10.10	A	0.01	A	450	A	17.5	A	273	A	275	A	0.21	A	0.34	A
USGS	08188810	2013-07-03	10.84	A	9.93	A	10.31	A	0.03	A	454	A	37.9	A	249	A	254	A	0.19	A	0.34	A
USGS	08188810	2013-07-04	10.91	A	10.15	A	10.48	A	0.02	A	455	A	28.7	A	262	A	262	A	0.19	A	0.32	A
USGS	08188810	2013-07-05	10.96	A	10.25	A	10.59	A	-0.00	A	481	A	-2.51	A	282	A:e	285	A	0.20	A	0.35	A
USGS	08188810	2013-07-06	11.10	A	10.26	A	10.70	A	-0.01	A	480	A	-12.6	A	292	A:e	295	A	0.21	A	0.33	A
USGS	08188810	2013-07-07	11.44	A	10.42	A	10.83	A							310	A:e						
USGS	08188810	2013-07-08	11.20	A	10.56	A	10.92	A	-0.01	A	525	A	-12.9	A	310	A:e	361	A	0.25	A	0.37	A
USGS	08188810	2013-07-09	10.95	A	10.38	A	10.69	A	-0.01	A	502	A	-12.9	A	291	A:e	288	A	0.20	A	0.35	A
USGS	08188810	2013-07-10	10.89	A	10.36	A	10.63	A	-0.01	A	448	A	-13.1	A	279	A	273	A	0.19	A	0.32	A
USGS	08188810	2013-07-11	10.76	A	10.08	A	10.52	A	-0.00	A	460	A	-2.52	A	274	A	293	A	0.21	A	0.33	A
USGS	08188810	2013-07-12	10.65	A	10.05	A	10.33	A	0.01	A	413	A	7.52	A	261	A	263	A	0.19	A	0.31	A
USGS	08188810	2013-07-13	10.44	A	9.82	A	10.17	A	0.01	A	418	A	17.3	A	252	A	256	A	0.19	A	0.32	A
USGS	08188810	2013-07-14	10.46	A	9.77	A	10.13	A	0.03	A	390	A	37.4	A	251	A	244	A	0.18	A	0.29	A
USGS	08188810	2013-07-15	10.70	A	10.20	A	10.51	A	-0.01	A	411	A	-12.8	A	235	A	239	A	0.17	A	0.29	A
USGS	08188810	2013-07-16	11.15	A	10.29	A	10.69	A	-0.00	A	500	A	-2.55	A	228	A	212	A	0.15	A	0.35	A
USGS	08188810	2013-07-17	11.23	A	10.41	A	10.73	A	-0.00	A	586	A	-2.64	A	235	A	219	A	0.15	A	0.41	A
USGS	08188810	2013-07-18	11.20	A	10.47	A	10.83	A	-0.00	A	442	A	-2.54	A	269	A	281	A	0.20	A	0.31	A
USGS	08188810	2013-07-19	11.36	A	10.55	A	10.98	A	-0.00	A	511	A	-2.57	A	333	A	332	A	0.23	A	0.35	A
USGS	08188810	2013-07-20	11.23	A	10.64	A	10.98	A	-0.01	A	571	A	-13.0	A	449	A	404	A	0.28	A	0.39	A
USGS	08188810	2013-07-21	11.51	A	10.48	A	11.13	A	0.02	A	827	A	28.4	A	617	A:e	605	A	0.41	A	0.55	A
USGS	08188810	2013-07-22	11.56	A	11.01	A	11.35	A	0.47	A	941	A	692	A	702	A:e	794	A	0.53	A	0.65	A
USGS	08188810	2013-07-23													705	A:e						
USGS	08188810	2013-07-24	11.15	A	10.27	A	10.68	A	0.13	A	846	A	182	A	629	A:e	612	A	0.43	A	0.60	A
USGS	08188810	2013-07-25	10.64	A	9.95	A	10.38	A	0.12	A	730	A	170	A	489	A:e	480	A	0.35	A	0.53	A
USGS	08188810	2013-07-26	10.61	A	9.97	A	10.29	A	0.09	A	619	A	117	A	419	A	419	A	0.31	A	0.46	A
USGS	08188810	2013-07-27	10.58	A	9.53	A	10.06	A	0.13	A	554	A	175	A	392	A	409	A	0.31	A	0.42	A
USGS	08188810	2013-07-28	10.23	A	9.53	A	9.89	A	0.06	A	480	A	77.2	A	354	A	336	A	0.25	A	0.37	A
USGS	08188810	2013-07-29	10.39	A	9.91	A	10.14	A	0.04	A	452	A	57.1	A	330	A	328	A	0.24	A	0.34	A
USGS	08188810	2013-07-30	10.25	A	9.82	A	10.10	A	0.04	A	435	A	47.5	A	306	A	303	A	0.23	A	0.32	A
USGS	08188810	2013-07-31													282	A						
USGS	08188810	2013-08-01	10.27	A	9.63	A	9.95	A	-0.01	A	474	A	-12.1	A	257	A	273	A	0.21	A	0.36	A
USGS	08188810	2013-08-02	10.25	A	9.65	A	9.97	A	-0.01	A	392	A	-12.4	A	232	A	238	A	0.18	A	0.30	A
USGS	08188810	2013-08-03	10.39	A	9.73	A	10.15	A	-0.00	A	374	A	-2.47	A	209	A	203	A	0.15	A	0.29	A
USGS	08188810	2013-08-04	10.50	A	9.90	A	10.25	A	-0.01	A	382	A	-12.5	A	204	A	208	A	0.15	A	0.28	A
USGS	08188810	2013-08-05	10.61	A	9.88	A	10.31	A	-0.01	A	342	A	-12.8	A	187	A	185	A	0.14	A	0.25	A
USGS	08188810	2013-08-06	10.74	A	9.86	A	10.32	A	-0.00	A	386	A	-2.54	A	167	A	172	A	0.13	A	0.29	A
USGS	08188810	2013-08-07	10.48	A	9.92	A	10.19	A	-0.00	A	306	A	-2.47	A	149	A	149	A	0.11	A	0.23	A
USGS	08188810	2013-08-08	10.46	A	9.54	A	10.08	A	-0.01	A	315	A	-12.6	A	142	A	141	A	0.11	A	0.24	A
USGS	08188810	2013-08-09	10.23	A	9.55	A	9.99	A	-0.01	A	333	A	-12.4	A	141	A	151	A	0.11	A	0.26	A
USGS	08188810	2013-08-10	10.56	A	9.82	A	10.07	A	-0.01	A	351	A	-12.5	A	144	A	132	A	0.10	A	0.26	A
USGS	08188810	2013-08-11	10.70	A	10.02	A	10.25	A	-0.01	A	348	A	-12.7	A	156	A	164	A	0.12	A	0.26	A
USGS	08188810	2013-08-12	10.50	A	10.00	A	10.31	A	0.01	A	320	A	7.67	A	162	A	157	A	0.11	A	0.23	A
USGS	08188810	2013-08-13	10.52	A	10.14	A	10.38	A	-0.01	A	280	A	-12.7	A	153	A	147	A	0.11	A	0.20	A
USGS	08188810	2013-08-14	10.54	A	10.01	A	10.29	A	-0.01	A	292	A	-12.8	A	135	A	133	A	0.10	A	0.21	A
USGS	08188810	2013-08-15	10.46	A	9.79	A	10.10	A	-0.01	A	280	A	-12.6	A	134	A	132	A	0.10	A	0.21	A
USGS	08188810	2013-08-16	10.59	A	9.77	A	10.13	A	-0.01	A	315	A	-12.4	A	131	A	115	A	0.09	A	0.23	A
USGS	08188810	2013-08-17	10.77	A	9.69	A	10.20	A							127	A						
USGS	08188810	2013-08-18	10.73	A	9.87	A	10.29	A	-0.01	A	244	A	-12.9	A	123	A	121	A	0.09	A	0.18	A
USGS	08188810	2013-08-19	10.80	A	10.13	A	10.43	A	-0.01	A	269	A	-13.0	A	121	A	115	A	0.08	A	0.19	A
USGS	08188810	2013-08-20	10.92	A	10.21	A	10.53	A	-0.00	A	306	A	-2.48	A	125	A	127	A	0.09	A	0.22	A
USGS	08188810	2013-08-21	10.76	A	10.28	A	10.54	A	-0.01	A	280	A	-13.0	A	131	A	143	A	0.10	A	0.20	A
USGS	08188810	2013-08-22	10.74	A	10.19	A	10.51	A	-0.01	A	290	A	-12.9	A	130	A	119	A	0.09	A	0.20	A
USGS	08188810	2013-08-23	10.76	A	10.31	A	10.56	A	-0.01	A	248	A	-12.9	A	121	A	134	A	0.10	A	0.18	A
USGS	08188810	2013-08-24	10.98	A	10.43	A	10.72	A	-0.01	A	229	A	-13.1	A	112	A	121	A	0.09	A	0.16	A
USGS	08188810	2013-08-25	10.96	A	10.59	A	10.78	A	-0.01	A	281	A	-13.2	A	111	A	108	A	0.08	A	0.20	A
USGS	08188810	2013-08-26	11.63	A	10.54	A	11.05	A	-0.01	A	391	A	-13.6	A	128	A	127	A	0.09	A	0.26	A
USGS	08188810	2013-08-27	11.18	A	10.73	A	10.98	A	-0.01	A	315	A	-13.3	A	156	A	137	A	0.09	A	0.22	A
USGS	08188810	2013-08-28	11.17	A	10.64	A	10.85	A	-0.01	A	299	A	-12.9	A	176	A	173	A	0.12	A	0.20	A
USGS	08188810	2013-08-29	10.99	A	10.56	A	10.80	A	0.01	A	332	A	7.79	A	190	A	201	A	0.14	A	0.23	A
USGS	08188810	2013-08-30	10.94	A	10.34	A	10.66	A	-0.01	A	337	A	-12.7	A	178	A	184	A	0.13	A	0.24	A
USGS	08188810	2013-08-31	10.95	A	10.34	A	10.64	A	-0.00	A	296	A	-2.61	A	163	A	171	A	0.12	A	0.21	A
USGS	08188810	2013-09-01	10.97	A	10.40	A	10.72	A	-0.00	A	283	A	-2.59	A	158	A	154	A	0.11	A	0.20	A
USGS	08188810	2013-09-02	10.83	A	10.31	A	10.61	A	-0.01	A	296	A	-13.0	A	147	A	134	A	0.10	A	0.21	A
USGS	08188810	2013-09-03	10.65	A	10.01	A	10.38	A	-0.00	A	327	A	-2.52	A	152	A	169	A	0.12	A	0.23	A
