,,,,,,,,,,,,2007 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1st Mixed
1st Masters",4,"Deborah Lane
Fred Mynar             
TC - Brian Mynar",9:00, ,11:27:00, ,14:36:00, ,15:26:00, ,17:45:00, ,21:48:00, ,2:47:00, ,5:56:00, ,7:43:00, ,12:19:00, ,16:47:00, ,19:40:00, ,22:45:00
,NEW RECORD MIXED,,,,6,2:27:00,6,3:09:00,6,0:50:00,6,2:19:00,6,4:03:00,10,4:59:00,4,3:09:00,7,1:47:00,5,4:36:00,6,4:28:00,3,2:53:00,4,3:05:00
,,,,,6,2:27:00,6,5:36:00,6,6:26:00,7,8:45:00,7,12:48:00,7,17:47:00,7,20:56:00,7,22:43:00,7,27:19:00,6,31:47:00,5,34:40:00,5,37:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2nd Solo,6,"Tommy Yonley       
TC - Michael Rask",9:00, ,11:23:00, ,14:28:00, ,15:18:00, ,17:34:00, ,21:30:00, ,2:26:00, ,5:41:00, ,7:28:00, ,12:17:00, ,16:47:00, ,19:40:00, ,23:04:00
,,,,,5,2:23:00,5,3:05:00,4,0:50:00,4,2:16:00,5,3:56:00,9,4:56:00,6,3:15:00,6,1:47:00,7,4:49:00,7,4:30:00,3,2:53:00,13,3:24:00
,,,,,5,2:23:00,5,5:28:00,5,6:18:00,5,8:34:00,4,12:30:00,6,17:26:00,6,20:41:00,6,22:28:00,6,27:17:00,6,31:47:00,5,34:40:00,6,38:04:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2nd Mixed,105,"Abigail Rask   
Tim Rask               
TC - Abigail Kittle",9:00, ,11:42:00, ,14:57:00, ,15:53:00, ,18:19:00, ,22:42:00, ,3:27:00, ,6:45:00, ,8:32:00, ,13:29:00, ,18:02:00, ,21:14:00, ,0:48:00
,,,,,15,2:42:00,11,3:15:00,15,0:56:00,10,2:26:00,14,4:23:00,6,4:45:00,8,3:18:00,7,1:47:00,10,4:57:00,10,4:33:00,6,3:12:00,16,3:34:00
,,,,,15,2:42:00,13,5:57:00,12,6:53:00,13,9:19:00,12,13:42:00,10,18:27:00,9,21:45:00,9,23:32:00,8,28:29:00,8,33:02:00,8,36:14:00,7,39:48:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1st Standard,456,"John Bugge        
Meagan Yeager     
TC - Coleman Yeager",9:00, ,11:41:00, ,14:58:00, ,15:53:00, ,18:17:00, ,22:29:00, ,3:28:00, ,6:51:00, ,8:37:00, ,13:32:00, ,18:11:00, ,21:29:00, ,1:06:00
,,,,,13,2:41:00,12,3:17:00,13,0:55:00,9,2:24:00,9,4:12:00,10,4:59:00,11,3:23:00,5,1:46:00,8,4:55:00,11,4:39:00,8,3:18:00,19,3:37:00
,,,,,13,2:41:00,14,5:58:00,12,6:53:00,11,9:17:00,10,13:29:00,11,18:28:00,11,21:51:00,10,23:37:00,9,28:32:00,9,33:11:00,9,36:29:00,8,40:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3rd Unlimited,911,"Terry Alford     
T Alford               
James Green        
Scott Johnson        
John Maika          
Bobby Smart           
TC - Cindy Alford",9:00, ,11:22:00, ,14:22:00, ,15:11:00, ,17:30:00, ,21:34:00, ,2:08:00, ,5:29:00, ,7:11:00, ,11:56:00, ,16:28:00, ,21:10:00, ,2:28:00
,,,,,3,2:22:00,4,3:00:00,3,0:49:00,6,2:19:00,7,4:04:00,3,4:34:00,10,3:21:00,2,1:42:00,6,4:45:00,8,4:32:00,32,4:42:00,69,5:18:00
,,,,,3,2:22:00,4,5:22:00,3,6:11:00,3,8:30:00,5,12:34:00,4,17:08:00,4,20:29:00,4,22:11:00,5,26:56:00,5,31:28:00,7,36:10:00,9,41:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4th Unlimited,13,"Robyn Benincasa  
Bobby Snyder        
Mike Stinson             
TC - Mike Swope",9:00, ,11:45:00, ,15:08:00, ,16:00:00, ,18:35:00, ,23:06:00, ,4:25:00, ,7:37:00, ,9:23:00, ,14:19:00, ,18:51:00, ,23:20:00, ,2:37:00
,,,,,16,2:45:00,16,3:23:00,10,0:52:00,18,2:35:00,18,4:31:00,16,5:19:00,5,3:12:00,3,1:46:00,9,4:56:00,9,4:32:00,26,4:29:00,10,3:17:00
,,,,,16,2:45:00,16,6:08:00,15,7:00:00,15,9:35:00,18,14:06:00,16,19:25:00,14,22:37:00,13,24:23:00,11,29:19:00,11,33:51:00,12,38:20:00,10,41:37:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3rd Solo,89,"Ardie Olson         
TC - Sherry Olson",9:00, ,11:38:00, ,14:56:00, ,15:51:00, ,18:18:00, ,22:48:00, ,4:01:00, ,7:37:00, ,9:28:00, ,14:44:00, ,19:42:00, ,23:42:00, ,3:22:00
,,,,,12,2:38:00,13,3:18:00,13,0:55:00,11,2:27:00,16,4:30:00,14,5:13:00,16,3:36:00,13,1:51:00,14,5:16:00,17,4:58:00,16,4:00:00,21,3:40:00
,,,,,12,2:38:00,11,5:56:00,11,6:51:00,12,9:18:00,13,13:48:00,14,19:01:00,13,22:37:00,14,24:28:00,12,29:44:00,12,34:42:00,14,38:42:00,11,42:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4th Solo,175,"Jonathan Yonley     
TC - Lori Yonley",9:00, ,11:48:00, ,15:08:00, ,16:04:00, ,18:34:00, ,22:51:00, ,3:45:00, ,7:05:00, ,8:56:00, ,14:48:00, ,19:42:00, ,23:13:00, ,3:30:00
,,,,,17,2:48:00,14,3:20:00,15,0:56:00,14,2:30:00,13,4:17:00,8,4:54:00,9,3:20:00,14,1:51:00,26,5:52:00,15,4:54:00,9,3:31:00,42,4:17:00
,,,,,17,2:48:00,16,6:08:00,17,7:04:00,14,9:34:00,14,13:51:00,12,18:45:00,12,22:05:00,12,23:56:00,13,29:48:00,12,34:42:00,11,38:13:00,12,42:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1st Tandem,815,"Pat Petrisky         
Vance Sherrod        
TC - Sandy Sherrod",9:00, ,11:37:00, ,14:50:00, ,15:44:00, ,18:14:00, ,22:23:00, ,3:25:00, ,6:50:00, ,8:38:00, ,13:36:00, ,18:23:00, ,22:32:00, ,3:40:00
,,,,,11,2:37:00,10,3:13:00,12,0:54:00,14,2:30:00,8,4:09:00,12,5:02:00,12,3:25:00,11,1:48:00,11,4:58:00,12,4:47:00,18,4:09:00,66,5:08:00
,,,,,11,2:37:00,10,5:50:00,10,6:44:00,10,9:14:00,9,13:23:00,9,18:25:00,10,21:50:00,11,23:38:00,10,28:36:00,10,33:23:00,10,37:32:00,13,42:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3rd Mixed,17,"Jonathan Zeek     
Rebekah Zeek       
TC - Daniel Falkenstine",9:00, ,11:50:00, ,15:17:00, ,16:14:00, ,18:42:00, ,22:55:00, ,4:00:00, ,7:49:00, ,9:44:00, ,14:51:00, ,19:42:00, ,23:41:00, ,4:23:00
,,,,,19,2:50:00,20,3:27:00,21,0:57:00,12,2:28:00,10,4:13:00,13,5:05:00,21,3:49:00,19,1:55:00,12,5:07:00,14,4:51:00,14,3:59:00,56,4:42:00
,,,,,19,2:50:00,18,6:17:00,19,7:14:00,17,9:42:00,15,13:55:00,13,19:00:00,15,22:49:00,15,24:44:00,14,29:51:00,12,34:42:00,13,38:41:00,14,43:23:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5th Solo,138,"Gaston Jones     
TC - Aaron Hanson",9:00, ,11:41:00, ,15:04:00, ,16:00:00, ,18:35:00, ,23:01:00, ,4:32:00, ,8:23:00, ,10:17:00, ,15:38:00, ,20:25:00, ,1:17:00, ,5:08:00
,,,,,13,2:41:00,16,3:23:00,15,0:56:00,18,2:35:00,15,4:26:00,23,5:31:00,22,3:51:00,17,1:54:00,18,5:21:00,13,4:47:00,37,4:52:00,27,3:51:00
,,,,,13,2:41:00,15,6:04:00,15,7:00:00,15,9:35:00,16,14:01:00,18,19:32:00,17,23:23:00,16,25:17:00,15,30:38:00,15,35:25:00,16,40:17:00,15,44:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6th Solo,221,"Stephen Rask          
TC - Jeremiah Jackson",9:00, ,12:00:00, ,15:36:00, ,16:33:00, ,19:05:00, ,23:47:00, ,5:14:00, ,9:45:00, ,11:38:00, ,17:01:00, ,22:17:00, ,2:12:00, ,5:49:00
,,,,,29,3:00:00,28,3:36:00,19,0:57:00,16,2:32:00,21,4:42:00,20,5:27:00,44,4:31:00,15,1:53:00,19,5:23:00,24,5:16:00,13,3:55:00,18,3:37:00
,,,,,29,3:00:00,26,6:36:00,25,7:33:00,22,10:05:00,21,14:47:00,21,20:14:00,23,24:45:00,23,26:38:00,22,32:01:00,22,37:17:00,17,41:12:00,16,44:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1st Women's,259,"Hannah DeGray    
Holly Orr         
Sarah Walliser          
TC - Janet Nelson",9:00, ,11:53:00, ,15:26:00, ,16:25:00, ,19:06:00, ,23:40:00, ,5:10:00, ,8:55:00, ,10:56:00, ,16:34:00, ,21:55:00, ,2:12:00, ,5:51:00
,New Record,,,,21,2:53:00,24,3:33:00,24,0:59:00,23,2:41:00,20,4:34:00,22,5:30:00,20,3:45:00,24,2:01:00,22,5:38:00,26,5:21:00,20,4:17:00,20,3:39:00
,,,,,21,2:53:00,21,6:26:00,21,7:25:00,23,10:06:00,20,14:40:00,20,20:10:00,20,23:55:00,21,25:56:00,21,31:34:00,21,36:55:00,17,41:12:00,17,44:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1st Alum,5150,"Michael Anderson  
Shawn Boyett            
TC - Travis McBurnett",9:00, ,11:56:00, ,15:36:00, ,16:33:00, ,19:27:00, ,0:23:00, ,5:40:00, ,9:19:00, ,11:14:00, ,16:29:00, ,21:33:00, ,2:30:00, ,5:55:00
,,,,,25,2:56:00,31,3:40:00,19,0:57:00,28,2:54:00,22,4:56:00,15,5:17:00,17,3:39:00,19,1:55:00,13,5:15:00,20,5:04:00,40,4:57:00,14,3:25:00
,,,,,25,2:56:00,26,6:36:00,25,7:33:00,26,10:27:00,24,15:23:00,23,20:40:00,22,24:19:00,22,26:14:00,19,31:29:00,19,36:33:00,19,41:30:00,18,44:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2nd Tandem,18,"Michael Drost    
Michael Rendon   
TC - Debbie Richardson",9:00, ,11:32:00, ,14:44:00, ,15:36:00, ,18:04:00, ,22:34:00, ,4:02:00, ,8:43:00, ,10:43:00, ,16:29:00, ,21:40:00, ,4:35:00, ,7:50:00
,,,,,8,2:32:00,9,3:12:00,11,0:52:00,12,2:28:00,16,4:30:00,21,5:28:00,50,4:41:00,21,2:00:00,24,5:46:00,23,5:11:00,68,6:55:00,7,3:15:00
,,,,,8,2:32:00,8,5:44:00,8,6:36:00,9,9:04:00,11,13:34:00,15,19:02:00,18,23:43:00,19,25:43:00,20,31:29:00,20,36:40:00,20,43:35:00,19,46:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1st C-2,109,"Peter Rask        
Philip Rask             
TC - Doug Rask",9:00, ,11:53:00, ,15:26:00, ,16:25:00, ,19:04:00, ,0:00:00, ,5:21:00, ,8:57:00, ,10:50:00, ,16:15:00, ,21:13:00, ,1:07:00, ,8:06:00
,,,,,21,2:53:00,24,3:33:00,24,0:59:00,22,2:39:00,22,4:56:00,17,5:21:00,15,3:36:00,16,1:53:00,20,5:25:00,16,4:58:00,12,3:54:00,79,6:59:00
,,,,,21,2:53:00,21,6:26:00,21,7:25:00,21,10:04:00,22,15:00:00,22,20:21:00,21,23:57:00,20,25:50:00,18,31:15:00,18,36:13:00,15,40:07:00,20,47:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7th Solo,20,"Christopher Fidler      
TC - Andrew Fogarasi",9:00, ,11:53:00, ,15:17:00, ,16:13:00, ,18:47:00, ,23:04:00, ,4:26:00, ,8:07:00, ,10:27:00, ,15:43:00, ,20:47:00, ,5:10:00, ,8:15:00
,,,,,21,2:53:00,18,3:24:00,15,0:56:00,17,2:34:00,12,4:17:00,18,5:22:00,19,3:41:00,36,2:20:00,16,5:16:00,20,5:04:00,73,8:23:00,5,3:05:00
,,,,,21,2:53:00,18,6:17:00,18,7:13:00,18,9:47:00,17,14:04:00,17,19:26:00,16,23:07:00,17,25:27:00,16,30:43:00,16,35:47:00,24,44:10:00,21,47:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2nd Alum,333,"Jim Pye                
Mike Shively          
TC - Kevin Turner",9:00, ,11:49:00, ,15:17:00, ,16:17:00, ,18:52:00, ,23:24:00, ,4:47:00, ,8:45:00, ,10:39:00, ,15:55:00, ,20:54:00, ,5:09:00, ,8:20:00
,,,,,18,2:49:00,21,3:28:00,29,1:00:00,18,2:35:00,19,4:32:00,19,5:23:00,26,3:58:00,17,1:54:00,15,5:16:00,18,4:59:00,72,8:15:00,6,3:11:00
,,,,,18,2:49:00,18,6:17:00,20,7:17:00,20,9:52:00,19,14:24:00,19,19:47:00,19,23:45:00,18,25:39:00,17,30:55:00,17,35:54:00,23,44:09:00,22,47:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4th Mixed,110,"Max Feaster     
Stephanie McFerren   
TC - Sara McFerren",9:00, ,12:11:00, ,15:52:00, ,16:54:00, ,19:48:00, ,1:05:00, ,6:45:00, ,11:00:00, ,13:01:00, ,18:43:00, ,23:50:00, ,5:07:00, ,8:33:00
,,,,,34,3:11:00,33,3:41:00,34,1:02:00,28,2:54:00,29,5:17:00,24,5:40:00,37,4:15:00,25,2:01:00,23,5:42:00,22,5:07:00,47,5:17:00,15,3:26:00
,,,,,34,3:11:00,32,6:52:00,32,7:54:00,30,10:48:00,28,16:05:00,25,21:45:00,25,26:00:00,25,28:01:00,23,33:43:00,23,38:50:00,21,44:07:00,23,47:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3rd Tandem,5212,"Darryl Jiral         
Jonathan Redfern       
TC - Lance Bielke",9:00, ,11:57:00, ,15:29:00, ,16:29:00, ,19:07:00, ,0:07:00, ,6:41:00, ,10:49:00, ,12:54:00, ,18:47:00, ,0:16:00, ,5:08:00, ,8:49:00
,,,,,26,2:57:00,23,3:32:00,29,1:00:00,21,2:38:00,24,5:00:00,37,6:34:00,32,4:08:00,26,2:05:00,27,5:53:00,27,5:29:00,38,4:52:00,24,3:41:00
,,,,,26,2:57:00,24,6:29:00,24,7:29:00,24,10:07:00,23,15:07:00,24,21:41:00,24,25:49:00,24,27:54:00,24,33:47:00,24,39:16:00,22,44:08:00,24,47:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4th Tandem,380,"Cullen Franz          
Jason Willis             
TC - Marisol Guzman",9:00, ,12:11:00, ,15:49:00, ,16:53:00, ,19:49:00, ,1:27:00, ,7:58:00, ,11:37:00, ,13:38:00, ,19:32:00, ,1:32:00, ,7:22:00, ,10:38:00
,,,,,34,3:11:00,30,3:38:00,40,1:04:00,31,2:56:00,32,5:38:00,34,6:31:00,18,3:39:00,22,2:01:00,28,5:54:00,37,6:00:00,57,5:50:00,9,3:16:00
,,,,,34,3:11:00,31,6:49:00,31,7:53:00,31,10:49:00,30,16:27:00,28,22:58:00,27,26:37:00,26,28:38:00,27,34:32:00,26,40:32:00,25,46:22:00,25,49:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3rd  Alum,10,"Trey Fly               
Beau Brooks   
TC - Steve Brooks",9:00, ,12:01:00, ,15:41:00, ,16:39:00, ,19:34:00, ,0:40:00, ,7:31:00, ,11:39:00, ,13:40:00, ,19:30:00, ,1:33:00, ,7:30:00, ,11:27:00
,,,,,30,3:01:00,31,3:40:00,22,0:58:00,30,2:55:00,25,5:06:00,42,6:51:00,32,4:08:00,22,2:01:00,25,5:50:00,43,6:03:00,58,5:57:00,33,3:57:00
,,,,,30,3:01:00,29,6:41:00,28,7:39:00,27,10:34:00,26,15:40:00,27,22:31:00,28,26:39:00,27,28:40:00,26,34:30:00,27,40:33:00,26,46:30:00,26,50:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4th Alum,1204,"David Clark    
Michael Clark            
TC - Jude Wick",9:00, ,12:16:00, ,16:10:00, ,17:16:00, ,20:19:00, ,2:02:00, ,8:38:00, ,13:04:00, ,15:26:00, ,21:57:00, ,4:16:00, ,8:55:00, ,12:35:00
,,,,,41,3:16:00,42,3:54:00,44,1:06:00,36,3:03:00,33,5:43:00,38,6:36:00,42,4:26:00,39,2:22:00,31,6:31:00,50,6:19:00,31,4:39:00,23,3:40:00
,,,,,41,3:16:00,40,7:10:00,40,8:16:00,38,11:19:00,34,17:02:00,33,23:38:00,34,28:04:00,34,30:26:00,31,36:57:00,29,43:16:00,29,47:55:00,27,51:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"5th Alum
1st P/C",3560,"Aaron Gibson    
Gary Gibson           
TC - Sharon Gibson",9:00, ,11:59:00, ,15:40:00, ,16:40:00, ,19:26:00, ,0:34:00, ,7:10:00, ,11:33:00, ,13:48:00, ,19:23:00, ,1:08:00, ,8:33:00, ,13:03:00
,,,,,28,2:59:00,34,3:41:00,29,1:00:00,24,2:46:00,26,5:08:00,38,6:36:00,40,4:23:00,32,2:15:00,21,5:35:00,35,5:45:00,69,7:25:00,52,4:30:00
,,,,,28,2:59:00,28,6:40:00,29,7:40:00,25,10:26:00,25,15:34:00,26,22:10:00,26,26:33:00,28,28:48:00,25,34:23:00,25,40:08:00,27,47:33:00,28,52:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1st Novice,576,"Paul Wilks           
Micah Voiers    
TC - Dennis Terwilliger",9:00, ,12:24:00, ,16:26:00, ,17:39:00, ,20:49:00, ,2:23:00, ,8:46:00, ,13:15:00, ,15:44:00, ,21:54:00, ,4:05:00, ,8:40:00, ,13:03:00
,,,,,50,3:24:00,49,4:02:00,65,1:13:00,43,3:10:00,30,5:34:00,30,6:23:00,43,4:29:00,43,2:29:00,29,6:10:00,47,6:11:00,28,4:35:00,47,4:23:00
,,,,,50,3:24:00,48,7:26:00,50,8:39:00,45,11:49:00,37,17:23:00,35,23:46:00,35,28:15:00,35,30:44:00,30,36:54:00,28,43:05:00,28,47:40:00,28,52:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6th Alum,30,"Tom Fleshman      
Richard Plowes        
TC - Shayla Fleshman",9:00, ,12:15:00, ,16:05:00, ,17:15:00, ,20:08:00, ,1:55:00, ,8:25:00, ,12:32:00, ,14:52:00, ,22:35:00, ,5:45:00, ,9:45:00, ,14:11:00
,,,,,39,3:15:00,39,3:50:00,51,1:10:00,27,2:53:00,35,5:47:00,33,6:30:00,31,4:07:00,37,2:20:00,41,7:43:00,61,7:10:00,15,4:00:00,49,4:26:00
,,,,,39,3:15:00,37,7:05:00,39,8:15:00,35,11:08:00,33,16:55:00,31,23:25:00,31,27:32:00,32,29:52:00,32,37:35:00,32,44:45:00,30,48:45:00,30,53:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7th  Alum,1836,"Shayne Anderson    
Chad Keith            
TC - Glenn Clark",9:00, ,12:03:00, ,16:01:00, ,17:04:00, ,19:55:00, ,1:08:00, ,8:20:00, ,12:29:00, ,14:41:00, ,21:27:00, ,5:55:00, ,10:12:00, ,14:12:00
,,,,,31,3:03:00,46,3:58:00,39,1:03:00,26,2:51:00,28,5:13:00,50,7:12:00,34,4:09:00,31,2:12:00,32,6:46:00,72,8:28:00,21,4:17:00,36,4:00:00
,,,,,31,3:03:00,36,7:01:00,34,8:04:00,33,10:55:00,29,16:08:00,30,23:20:00,30,27:29:00,31,29:41:00,29,36:27:00,33,44:55:00,31,49:12:00,31,53:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8th Alum,1620,"Grant Jacobs     
Hoyt Moss            
TC - Chris Henderson",9:00, ,12:19:00, ,16:23:00, ,17:30:00, ,20:53:00, ,2:40:00, ,9:13:00, ,13:18:00, ,15:51:00, ,23:52:00, ,6:10:00, ,10:30:00, ,15:00:00
,,,,,44,3:19:00,52,4:04:00,46,1:07:00,48,3:23:00,35,5:47:00,35,6:33:00,29,4:05:00,47,2:33:00,42,8:01:00,49,6:18:00,22,4:20:00,53,4:30:00
,,,,,44,3:19:00,47,7:23:00,47,8:30:00,47,11:53:00,40,17:40:00,37,24:13:00,36,28:18:00,36,30:51:00,35,38:52:00,34,45:10:00,32,49:30:00,32,54:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,8th Solo,1316,"Jason Locke           
TC - James Mossman",9:00, ,11:57:00, ,15:31:00, ,16:33:00, ,19:36:00, ,0:49:00, ,8:03:00, ,11:55:00, ,14:19:00, ,1:40:00, ,7:41:00, ,11:29:00, ,15:23:00
,,,,,26,2:57:00,26,3:34:00,34,1:02:00,37,3:03:00,27,5:13:00,51,7:14:00,23,3:52:00,41,2:24:00,70,11:21:00,41,6:01:00,11,3:48:00,30,3:54:00
,,,,,26,2:57:00,25,6:31:00,25,7:33:00,28,10:36:00,27,15:49:00,29,23:03:00,29,26:55:00,29,29:19:00,37,40:40:00,36,46:41:00,33,50:29:00,33,54:23:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9th Alum,617,"Jason Rotan       
Curtis Slaton          
TC - Brandon Goering",9:00, ,12:20:00, ,16:13:00, ,17:25:00, ,20:24:00, ,2:12:00, ,10:03:00, ,13:58:00, ,16:09:00, ,0:20:00, ,7:05:00, ,12:26:00, ,17:28:00
,,,,,46,3:20:00,41,3:53:00,64,1:12:00,32,2:59:00,38,5:48:00,64,7:51:00,25,3:55:00,29,2:11:00,44,8:11:00,58,6:45:00,48,5:21:00,62,5:02:00
,,,,,46,3:20:00,43,7:13:00,43,8:25:00,40,11:24:00,36,17:12:00,39,25:03:00,37,28:58:00,37,31:09:00,36,39:20:00,35,46:05:00,34,51:26:00,34,56:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9th Solo,2222,"Steve Watson        
TC - Anthony Jackson",9:00, ,12:13:00, ,15:48:00, ,16:48:00, ,19:53:00, ,1:30:00, ,8:30:00, ,12:34:00, ,14:39:00, ,23:35:00, ,8:43:00, ,14:22:00, ,18:27:00
,,,,,36,3:13:00,27,3:35:00,27,1:00:00,39,3:05:00,31,5:37:00,45,7:00:00,28,4:04:00,27,2:05:00,50,8:56:00,75,9:08:00,55,5:39:00,38,4:05:00
,,,,,36,3:13:00,30,6:48:00,30,7:48:00,32,10:53:00,31,16:30:00,32,23:30:00,32,27:34:00,30,29:39:00,33,38:35:00,37,47:43:00,37,53:22:00,35,57:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2nd C-2,213,"Robert Dunnahue      
Jamie Sanderford     
TC - Anne Sanderford",9:00, ,12:21:00, ,16:06:00, ,17:19:00, ,20:21:00, ,2:08:00, ,8:42:00, ,14:46:00, ,16:54:00, ,3:55:00, ,9:30:00, ,14:04:00, ,18:29:00
,,,,,47,3:21:00,36,3:45:00,65,1:13:00,35,3:02:00,35,5:47:00,36,6:34:00,71,6:04:00,28,2:08:00,66,11:01:00,31,5:35:00,27,4:34:00,48,4:25:00
,,,,,47,3:21:00,38,7:06:00,41,8:19:00,39,11:21:00,35,17:08:00,34,23:42:00,40,29:46:00,39,31:54:00,39,42:55:00,38,48:30:00,35,53:04:00,36,57:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
